service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
EN_A6-Sunday,0,0,0,0,0,0,1,20260104,20260322
EN_A6-Weekday-SDon,1,1,1,1,1,0,0,20260105,20260327
EN_A6-Saturday,0,0,0,0,0,1,0,20260110,20260328
EN_H6-Weekday,1,1,1,1,1,0,0,20260119,20260119
EN_A6-Weekday,1,1,1,1,1,0,0,20260217,20260320
FB_A6-Sunday,0,0,0,0,0,0,1,20260104,20260322
FB_A6-Weekday-SDon,1,1,1,1,1,0,0,20260105,20260327
FB_A6-Saturday,0,0,0,0,0,1,0,20260110,20260328
FB_H6-Weekday,1,1,1,1,1,0,0,20260119,20260119
FB_A6-Weekday,1,1,1,1,1,0,0,20260217,20260320
FP_A6-Sunday,0,0,0,0,0,0,1,20260104,20260322
FP_A6-Weekday-SDon,1,1,1,1,1,0,0,20260105,20260327
FP_A6-Saturday,0,0,0,0,0,1,0,20260110,20260328
FP_A6-Saturday-BM,0,0,0,0,1,0,0,20260109,20260327
FP_H6-Weekday,1,1,1,1,1,0,0,20260119,20260119
FP_A6-Weekday,1,1,1,1,1,0,0,20260217,20260320
GA_A6-Sunday,0,0,0,0,0,0,1,20260104,20260322
GA_A6-Weekday-SDon,1,1,1,1,1,0,0,20260105,20260327
GA_A6-Saturday,0,0,0,0,0,1,0,20260110,20260328
GA_H6-Weekday,1,1,1,1,1,0,0,20260119,20260119
GA_A6-Weekday,1,1,1,1,1,0,0,20260217,20260320
JG_A6-Sunday,0,0,0,0,0,0,1,20260104,20260322
JG_A6-Sunday-BM,0,0,0,0,0,1,0,20260103,20260321
JG_A6-Weekday-SDon,1,1,1,1,1,0,0,20260105,20260327
JG_A6-Weekday-SDon-BM,1,1,1,1,0,0,1,20260104,20260326
JG_A6-Saturday,0,0,0,0,0,1,0,20260110,20260328
JG_A6-Saturday-BM,0,0,0,0,1,0,0,20260109,20260327
JG_H6-Weekday,1,1,1,1,1,0,0,20260119,20260119
JG_H6-Weekday-BM,1,1,1,1,0,0,1,20260118,20260118
JG_A6-Weekday,1,1,1,1,1,0,0,20260217,20260320
JG_A6-Weekday-BM,1,1,1,1,0,0,1,20260216,20260319
UP_A6-Sunday,0,0,0,0,0,0,1,20260104,20260322
UP_A6-Weekday-SDon,1,1,1,1,1,0,0,20260105,20260327
UP_A6-Saturday,0,0,0,0,0,1,0,20260110,20260328
UP_H6-Weekday,1,1,1,1,1,0,0,20260119,20260119
UP_A6-Weekday,1,1,1,1,1,0,0,20260217,20260320
