service_id,date,exception_type
EN_A6-Weekday-SDon,20260119,2
EN_A6-Weekday-SDon,20260216,2
EN_A6-Weekday-SDon,20260217,2
EN_A6-Weekday-SDon,20260218,2
EN_A6-Weekday-SDon,20260219,2
EN_A6-Weekday-SDon,20260220,2
EN_A6-Weekday-SDon,20260320,2
EN_A6-Saturday,20260216,1
EN_A6-Weekday,20260223,2
EN_A6-Weekday,20260224,2
EN_A6-Weekday,20260225,2
EN_A6-Weekday,20260226,2
EN_A6-Weekday,20260227,2
EN_A6-Weekday,20260302,2
EN_A6-Weekday,20260303,2
EN_A6-Weekday,20260304,2
EN_A6-Weekday,20260305,2
EN_A6-Weekday,20260306,2
EN_A6-Weekday,20260309,2
EN_A6-Weekday,20260310,2
EN_A6-Weekday,20260311,2
EN_A6-Weekday,20260312,2
EN_A6-Weekday,20260313,2
EN_A6-Weekday,20260316,2
EN_A6-Weekday,20260317,2
EN_A6-Weekday,20260318,2
EN_A6-Weekday,20260319,2
FB_A6-Weekday-SDon,20260119,2
FB_A6-Weekday-SDon,20260216,2
FB_A6-Weekday-SDon,20260217,2
FB_A6-Weekday-SDon,20260218,2
FB_A6-Weekday-SDon,20260219,2
FB_A6-Weekday-SDon,20260220,2
FB_A6-Weekday-SDon,20260320,2
FB_A6-Saturday,20260216,1
FB_A6-Weekday,20260223,2
FB_A6-Weekday,20260224,2
FB_A6-Weekday,20260225,2
FB_A6-Weekday,20260226,2
FB_A6-Weekday,20260227,2
FB_A6-Weekday,20260302,2
FB_A6-Weekday,20260303,2
FB_A6-Weekday,20260304,2
FB_A6-Weekday,20260305,2
FB_A6-Weekday,20260306,2
FB_A6-Weekday,20260309,2
FB_A6-Weekday,20260310,2
FB_A6-Weekday,20260311,2
FB_A6-Weekday,20260312,2
FB_A6-Weekday,20260313,2
FB_A6-Weekday,20260316,2
FB_A6-Weekday,20260317,2
FB_A6-Weekday,20260318,2
FB_A6-Weekday,20260319,2
FP_A6-Weekday-SDon,20260119,2
FP_A6-Weekday-SDon,20260216,2
FP_A6-Weekday-SDon,20260217,2
FP_A6-Weekday-SDon,20260218,2
FP_A6-Weekday-SDon,20260219,2
FP_A6-Weekday-SDon,20260220,2
FP_A6-Weekday-SDon,20260320,2
FP_A6-Saturday,20260216,1
FP_A6-Saturday-BM,20260215,1
FP_A6-Weekday,20260223,2
FP_A6-Weekday,20260224,2
FP_A6-Weekday,20260225,2
FP_A6-Weekday,20260226,2
FP_A6-Weekday,20260227,2
FP_A6-Weekday,20260302,2
FP_A6-Weekday,20260303,2
FP_A6-Weekday,20260304,2
FP_A6-Weekday,20260305,2
FP_A6-Weekday,20260306,2
FP_A6-Weekday,20260309,2
FP_A6-Weekday,20260310,2
FP_A6-Weekday,20260311,2
FP_A6-Weekday,20260312,2
FP_A6-Weekday,20260313,2
FP_A6-Weekday,20260316,2
FP_A6-Weekday,20260317,2
FP_A6-Weekday,20260318,2
FP_A6-Weekday,20260319,2
GA_A6-Weekday-SDon,20260119,2
GA_A6-Weekday-SDon,20260216,2
GA_A6-Weekday-SDon,20260217,2
GA_A6-Weekday-SDon,20260218,2
GA_A6-Weekday-SDon,20260219,2
GA_A6-Weekday-SDon,20260220,2
GA_A6-Weekday-SDon,20260320,2
GA_A6-Saturday,20260216,1
GA_A6-Weekday,20260223,2
GA_A6-Weekday,20260224,2
GA_A6-Weekday,20260225,2
GA_A6-Weekday,20260226,2
GA_A6-Weekday,20260227,2
GA_A6-Weekday,20260302,2
GA_A6-Weekday,20260303,2
GA_A6-Weekday,20260304,2
GA_A6-Weekday,20260305,2
GA_A6-Weekday,20260306,2
GA_A6-Weekday,20260309,2
GA_A6-Weekday,20260310,2
GA_A6-Weekday,20260311,2
GA_A6-Weekday,20260312,2
GA_A6-Weekday,20260313,2
GA_A6-Weekday,20260316,2
GA_A6-Weekday,20260317,2
GA_A6-Weekday,20260318,2
GA_A6-Weekday,20260319,2
JG_A6-Weekday-SDon,20260119,2
JG_A6-Weekday-SDon-BM,20260118,2
JG_A6-Weekday-SDon,20260216,2
JG_A6-Weekday-SDon-BM,20260215,2
JG_A6-Weekday-SDon,20260217,2
JG_A6-Weekday-SDon-BM,20260216,2
JG_A6-Weekday-SDon,20260218,2
JG_A6-Weekday-SDon-BM,20260217,2
JG_A6-Weekday-SDon,20260219,2
JG_A6-Weekday-SDon-BM,20260218,2
JG_A6-Weekday-SDon,20260220,2
JG_A6-Weekday-SDon-BM,20260219,2
JG_A6-Weekday-SDon,20260320,2
JG_A6-Weekday-SDon-BM,20260319,2
JG_A6-Saturday,20260216,1
JG_A6-Saturday-BM,20260215,1
JG_A6-Weekday,20260223,2
JG_A6-Weekday-BM,20260222,2
JG_A6-Weekday,20260224,2
JG_A6-Weekday-BM,20260223,2
JG_A6-Weekday,20260225,2
JG_A6-Weekday-BM,20260224,2
JG_A6-Weekday,20260226,2
JG_A6-Weekday-BM,20260225,2
JG_A6-Weekday,20260227,2
JG_A6-Weekday-BM,20260226,2
JG_A6-Weekday,20260302,2
JG_A6-Weekday-BM,20260301,2
JG_A6-Weekday,20260303,2
JG_A6-Weekday-BM,20260302,2
JG_A6-Weekday,20260304,2
JG_A6-Weekday-BM,20260303,2
JG_A6-Weekday,20260305,2
JG_A6-Weekday-BM,20260304,2
JG_A6-Weekday,20260306,2
JG_A6-Weekday-BM,20260305,2
JG_A6-Weekday,20260309,2
JG_A6-Weekday-BM,20260308,2
JG_A6-Weekday,20260310,2
JG_A6-Weekday-BM,20260309,2
JG_A6-Weekday,20260311,2
JG_A6-Weekday-BM,20260310,2
JG_A6-Weekday,20260312,2
JG_A6-Weekday-BM,20260311,2
JG_A6-Weekday,20260313,2
JG_A6-Weekday-BM,20260312,2
JG_A6-Weekday,20260316,2
JG_A6-Weekday-BM,20260315,2
JG_A6-Weekday,20260317,2
JG_A6-Weekday-BM,20260316,2
JG_A6-Weekday,20260318,2
