route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
QM21,BPPA6-BP_A6-Weekday-01,44401896-BPPA6-BP_A6-Weekday-01,"MIDTOWN 57 ST via MADISON AV",1,8071906,QM210060
QM21,BPPA6-BP_A6-Weekday-01,44401897-BPPA6-BP_A6-Weekday-01,"MIDTOWN 57 ST via MADISON AV",1,8071909,QM210060
QM21,BPPA6-BP_A6-Weekday-01,44401898-BPPA6-BP_A6-Weekday-01,"MIDTOWN 57 ST via MADISON AV",1,8071907,QM210060
QM21,BPPA6-BP_A6-Weekday-01,44401899-BPPA6-BP_A6-Weekday-01,"MIDTOWN 57 ST via MADISON AV",1,8071912,QM210060
QM21,BPPA6-BP_A6-Weekday-01,44401900-BPPA6-BP_A6-Weekday-01,"MIDTOWN 57 ST via MADISON AV",1,8071915,QM210060
QM21,BPPA6-BP_A6-Weekday-01,44401901-BPPA6-BP_A6-Weekday-01,"MIDTOWN 57 ST via MADISON AV",1,8071917,QM210060
QM21,BPPA6-BP_A6-Weekday-01,44401902-BPPA6-BP_A6-Weekday-01,"ROCHDALE VILLAGE via BREWER BL",0,8071910,QM210061
QM21,BPPA6-BP_A6-Weekday-01,44401903-BPPA6-BP_A6-Weekday-01,"ROCHDALE VILLAGE via BREWER BL",0,8071919,QM210061
QM21,BPPA6-BP_A6-Weekday-01,44401904-BPPA6-BP_A6-Weekday-01,"ROCHDALE VILLAGE via BREWER BL",0,8071913,QM210061
QM21,BPPA6-BP_A6-Weekday-01,44401905-BPPA6-BP_A6-Weekday-01,"ROCHDALE VILLAGE via BREWER BL",0,8071916,QM210061
QM21,BPPA6-BP_A6-Weekday-01,44401906-BPPA6-BP_A6-Weekday-01,"ROCHDALE VILLAGE via BREWER BL",0,8071911,QM210061
QM21,BPPA6-BP_A6-Weekday-01,44401907-BPPA6-BP_A6-Weekday-01,"ROCHDALE VILLAGE via BREWER BL",0,8071918,QM210061
QM21,BPPA6-BP_A6-Weekday-01,44401908-BPPA6-BP_A6-Weekday-01,"ROCHDALE VILLAGE via BREWER BL",0,8071908,QM210061
QM21,BPPA6-BP_A6-Weekday-01,44401909-BPPA6-BP_A6-Weekday-01,"ROCHDALE VILLAGE via BREWER BL",0,8071914,QM210061
Q111,BPPA6-BP_A6-Weekday-01,44401910-BPPA6-BP_A6-Weekday-01,"RUSH ROSEDALE F. LEWIS BL via BREWER BL via 147 AV",1,8071922,Q1110299
Q111,BPPA6-BP_A6-Weekday-01,44401911-BPPA6-BP_A6-Weekday-01,"RUSH JAMAICA PARSONS-HILLSIDE via 147 AV via BREWER BL",0,8071922,Q1110298
Q111,BPPA6-BP_A6-Weekday-01,44401912-BPPA6-BP_A6-Weekday-01,"RUSH ROSEDALE F. LEWIS BL via BREWER BL via 147 AV",1,8071822,Q1110299
Q111,BPPA6-BP_A6-Weekday-01,44401913-BPPA6-BP_A6-Weekday-01,"RUSH JAMAICA PARSONS-HILLSIDE via 147 AV via BREWER BL",0,8071814,Q1110298
Q111,BPPA6-BP_A6-Weekday-01,44401914-BPPA6-BP_A6-Weekday-01,"RUSH JAMAICA PARSONS-HILLSIDE via 147 AV via BREWER BL",0,8071920,Q1110298
Q111,BPPA6-BP_A6-Weekday-01,44401915-BPPA6-BP_A6-Weekday-01,"RUSH JAMAICA PARSONS-HILLSIDE via 147 AV via BREWER BL",0,8071932,Q1110298
Q111,BPPA6-BP_A6-Weekday-01,44401916-BPPA6-BP_A6-Weekday-01,"RUSH ROSEDALE F. LEWIS BL via BREWER BL via 147 AV",1,8071822,Q1110299
Q111,BPPA6-BP_A6-Weekday-01,44401917-BPPA6-BP_A6-Weekday-01,"RUSH JAMAICA PARSONS-HILLSIDE via 147 AV via BREWER BL",0,8071822,Q1110298
Q111,BPPA6-BP_A6-Weekday-01,44401918-BPPA6-BP_A6-Weekday-01,"RUSH JAMAICA PARSONS-HILLSIDE via 147 AV via BREWER BL",0,8071920,Q1110298
Q111,BPPA6-BP_A6-Weekday-01,44401919-BPPA6-BP_A6-Weekday-01,"RUSH ROSEDALE F. LEWIS BL via BREWER BL via 147 AV",1,8071924,Q1110299
Q111,BPPA6-BP_A6-Weekday-01,44401920-BPPA6-BP_A6-Weekday-01,"RUSH JAMAICA PARSONS-HILLSIDE via 147 AV via BREWER BL",0,8071794,Q1110298
Q111,BPPA6-BP_A6-Weekday-01,44401921-BPPA6-BP_A6-Weekday-01,"RUSH ROSEDALE F. LEWIS BL via BREWER BL via 147 AV",1,8071822,Q1110299
Q111,BPPA6-BP_A6-Weekday-01,44401922-BPPA6-BP_A6-Weekday-01,"RUSH JAMAICA PARSONS-HILLSIDE via 147 AV via BREWER BL",0,8071822,Q1110298
