service_id,date,exception_type
CS_A6-Weekday-SDon,20260119,2
CS_A6-Weekday-SDon-BM,20260118,2
CS_A6-Weekday-SDon,20260216,2
CS_A6-Weekday-SDon-BM,20260215,2
CS_A6-Weekday-SDon,20260217,2
CS_A6-Weekday-SDon-BM,20260216,2
CS_A6-Weekday-SDon,20260218,2
CS_A6-Weekday-SDon-BM,20260217,2
CS_A6-Weekday-SDon,20260219,2
CS_A6-Weekday-SDon-BM,20260218,2
CS_A6-Weekday-SDon,20260220,2
CS_A6-Weekday-SDon-BM,20260219,2
CS_A6-Weekday-SDon,20260320,2
CS_A6-Weekday-SDon-BM,20260319,2
CS_A6-Weekday,20260217,1
CS_A6-Weekday-BM,20260216,1
CS_A6-Weekday,20260218,1
CS_A6-Weekday-BM,20260217,1
CS_A6-Weekday,20260219,1
CS_A6-Weekday-BM,20260218,1
CS_A6-Weekday,20260220,1
CS_A6-Weekday-BM,20260219,1
CS_A6-Weekday,20260320,1
CS_A6-Weekday-BM,20260319,1
CS_A6-Saturday,20260216,1
CS_A6-Saturday-BM,20260215,1
JA_A6-Weekday-SDon,20260119,2
JA_A6-Weekday-SDon,20260216,2
JA_A6-Weekday-SDon,20260217,2
JA_A6-Weekday-SDon,20260218,2
JA_A6-Weekday-SDon,20260219,2
JA_A6-Weekday-SDon,20260220,2
JA_A6-Weekday-SDon,20260320,2
JA_A6-Weekday,20260217,1
JA_A6-Weekday,20260218,1
JA_A6-Weekday,20260219,1
JA_A6-Weekday,20260220,1
JA_A6-Weekday,20260320,1
JA_A6-Saturday,20260216,1
QV_A6-Weekday-SDon,20260119,2
QV_A6-Weekday-SDon-BM,20260118,2
QV_A6-Weekday-SDon,20260216,2
QV_A6-Weekday-SDon-BM,20260215,2
QV_A6-Weekday-SDon,20260217,2
QV_A6-Weekday-SDon-BM,20260216,2
QV_A6-Weekday-SDon,20260218,2
QV_A6-Weekday-SDon-BM,20260217,2
QV_A6-Weekday-SDon,20260219,2
QV_A6-Weekday-SDon-BM,20260218,2
QV_A6-Weekday-SDon,20260220,2
QV_A6-Weekday-SDon-BM,20260219,2
QV_A6-Weekday-SDon,20260320,2
QV_A6-Weekday-SDon-BM,20260319,2
QV_A6-Weekday,20260217,1
QV_A6-Weekday-BM,20260216,1
QV_A6-Weekday,20260218,1
QV_A6-Weekday-BM,20260217,1
QV_A6-Weekday,20260219,1
QV_A6-Weekday-BM,20260218,1
QV_A6-Weekday,20260220,1
QV_A6-Weekday-BM,20260219,1
QV_A6-Weekday,20260320,1
QV_A6-Weekday-BM,20260319,1
QV_A6-Saturday,20260216,1
QV_A6-Saturday-BM,20260215,1
