route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
Q76,CS_H6-Weekday,CS_H6-Weekday-097200_MISC_684,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419458,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-098700_MISC_648,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419383,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-100200_MISC_725,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419514,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-101700_Q76_506,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419515,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-103200_MISC_729,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419518,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-104700_MISC_665,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419517,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-107700_MISC_712,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419454,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-109200_MISC_658,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419491,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-110900_MISC_682,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419489,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-112900_MISC_684,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419458,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-114900_MISC_710,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419496,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-117400_Q76_507,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419463,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-123400_MISC_718,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419510,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-129600_MISC_710,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419496,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-132800_MISC_720,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419468,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-137500_MISC_718,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419510,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-083200_MISC_609,COLLEGE POINT,0,38419478,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-094300_MISC_701,COLLEGE POINT,0,38419449,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-095800_MISC_675,COLLEGE POINT,0,38419382,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-116000_MISC_712,COLLEGE POINT,0,38419454,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-118000_MISC_682,COLLEGE POINT,0,38419489,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-120000_MISC_684,COLLEGE POINT,0,38419458,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-122000_MISC_710,COLLEGE POINT,0,38419496,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-124000_Q76_507,COLLEGE POINT,0,38419463,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-126500_MISC_720,COLLEGE POINT,0,38419468,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-129500_MISC_718,COLLEGE POINT,0,38419510,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-132500_MISC_713,COLLEGE POINT,0,38419505,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-135500_MISC_710,COLLEGE POINT,0,38419496,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-138500_MISC_720,COLLEGE POINT,0,38419468,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-076500_MISC_609,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419478,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-088300_Q76_502,COLLEGE POINT,0,38419488,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-086700_MISC_701,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419449,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-088200_MISC_675,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419382,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-083700_MISC_648,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419383,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-082200_Q76_504,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419457,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-078500_MISC_616,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419451,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-089700_MISC_678,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419461,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-110800_MISC_729,COLLEGE POINT,0,38419518,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-114000_MISC_669,COLLEGE POINT,0,38419466,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-112300_MISC_665,COLLEGE POINT,0,38419517,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-097300_MISC_678,COLLEGE POINT,0,38419461,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-098800_MISC_669,COLLEGE POINT,0,38419466,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-100300_MISC_712,COLLEGE POINT,0,38419454,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-101800_Q76_507,COLLEGE POINT,0,38419381,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-103300_MISC_682,COLLEGE POINT,0,38419489,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-104800_MISC_684,COLLEGE POINT,0,38419458,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-106300_MISC_648,COLLEGE POINT,0,38419383,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-107800_MISC_725,COLLEGE POINT,0,38419514,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-109300_Q76_506,COLLEGE POINT,0,38419515,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-092800_Q76_505,COLLEGE POINT,0,38419462,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-089800_Q76_504,COLLEGE POINT,0,38419457,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-091300_MISC_648,COLLEGE POINT,0,38419383,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-086800_Q76_507,COLLEGE POINT,0,38419381,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-091200_MISC_669,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419466,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-045000_MISC_643,COLLEGE POINT,0,38419334,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-041400_MISC_630,COLLEGE POINT,0,38419332,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-037200_Q76_501,COLLEGE POINT,0,38419329,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-046200_Q76_505,COLLEGE POINT,0,38419335,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-047500_MISC_653,COLLEGE POINT,0,38419337,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-039400_MISC_618,COLLEGE POINT,0,38419330,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-050500_MISC_654,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419380,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-050500_Q76_503,COLLEGE POINT,0,38419336,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-060500_Q76_505,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419460,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-054500_Q76_502,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419450,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-058500_Q76_504,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419456,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-072500_Q76_501,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419448,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-043800_Q76_504,COLLEGE POINT,0,38419333,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-068500_MISC_678,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419453,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-070500_Q76_506,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419498,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-074500_MISC_665,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419459,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-049000_Q76_506,COLLEGE POINT,0,38419338,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-052000_Q76_501,COLLEGE POINT,0,38419329,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-064500_Q76_503,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419455,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-038400_MISC_638,COLLEGE POINT,0,38419339,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-036000_Q76_503,COLLEGE POINT,0,38419336,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-056500_MISC_652,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419464,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-042600_MISC_654,COLLEGE POINT,0,38419380,Q760208
Q76,CS_H6-Weekday,CS_H6-Weekday-062500_MISC_675,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419480,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-052500_MISC_616,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419465,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-066500_MISC_653,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419467,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-029500_Q76_501,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419329,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-031500_MISC_618,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419330,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-033000_Q76_502,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419331,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-034500_MISC_630,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419332,Q760180
Q76,CS_H6-Weekday,CS_H6-Weekday-036000_Q76_504,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,38419333,Q760180
