service_id,date,exception_type
CA_A6-Weekday-SDon,20260119,2
CA_A6-Weekday-SDon,20260216,2
CA_A6-Weekday-SDon,20260217,2
CA_A6-Weekday-SDon,20260218,2
CA_A6-Weekday-SDon,20260219,2
CA_A6-Weekday-SDon,20260220,2
CA_A6-Weekday-SDon,20260320,2
CA_A6-Weekday,20260217,1
CA_A6-Weekday,20260218,1
CA_A6-Weekday,20260219,1
CA_A6-Weekday,20260220,1
CA_A6-Weekday,20260320,1
CA_H6-Weekday,20260120,2
CA_H6-Weekday,20260121,2
CA_H6-Weekday,20260122,2
CA_H6-Weekday,20260123,2
CA_H6-Weekday,20260126,2
CA_H6-Weekday,20260127,2
CA_H6-Weekday,20260128,2
CA_H6-Weekday,20260129,2
CA_H6-Weekday,20260130,2
CA_H6-Weekday,20260202,2
CA_H6-Weekday,20260203,2
CA_H6-Weekday,20260204,2
CA_H6-Weekday,20260205,2
CA_H6-Weekday,20260206,2
CA_H6-Weekday,20260209,2
CA_H6-Weekday,20260210,2
CA_H6-Weekday,20260211,2
CA_H6-Weekday,20260212,2
CA_H6-Weekday,20260213,2
CH_A6-Weekday-SDon,20260119,2
CH_A6-Weekday-SDon,20260216,2
CH_A6-Weekday-SDon,20260217,2
CH_A6-Weekday-SDon,20260218,2
CH_A6-Weekday-SDon,20260219,2
CH_A6-Weekday-SDon,20260220,2
CH_A6-Weekday-SDon,20260320,2
CH_A6-Weekday,20260217,1
CH_A6-Weekday,20260218,1
CH_A6-Weekday,20260219,1
CH_A6-Weekday,20260220,1
CH_A6-Weekday,20260320,1
CH_H6-Weekday,20260120,2
CH_H6-Weekday,20260121,2
CH_H6-Weekday,20260122,2
CH_H6-Weekday,20260123,2
CH_H6-Weekday,20260126,2
CH_H6-Weekday,20260127,2
CH_H6-Weekday,20260128,2
CH_H6-Weekday,20260129,2
CH_H6-Weekday,20260130,2
CH_H6-Weekday,20260202,2
CH_H6-Weekday,20260203,2
CH_H6-Weekday,20260204,2
CH_H6-Weekday,20260205,2
CH_H6-Weekday,20260206,2
CH_H6-Weekday,20260209,2
CH_H6-Weekday,20260210,2
CH_H6-Weekday,20260211,2
CH_H6-Weekday,20260212,2
CH_H6-Weekday,20260213,2
YU_A6-Weekday-SDon,20260119,2
YU_A6-Weekday-SDon,20260216,2
YU_A6-Weekday-SDon,20260217,2
YU_A6-Weekday-SDon,20260218,2
YU_A6-Weekday-SDon,20260219,2
YU_A6-Weekday-SDon,20260220,2
YU_A6-Weekday-SDon,20260320,2
YU_A6-Weekday,20260217,1
YU_A6-Weekday,20260218,1
YU_A6-Weekday,20260219,1
YU_A6-Weekday,20260220,1
YU_A6-Weekday,20260320,1
YU_H6-Weekday,20260120,2
YU_H6-Weekday,20260121,2
YU_H6-Weekday,20260122,2
YU_H6-Weekday,20260123,2
YU_H6-Weekday,20260126,2
YU_H6-Weekday,20260127,2
YU_H6-Weekday,20260128,2
YU_H6-Weekday,20260129,2
YU_H6-Weekday,20260130,2
YU_H6-Weekday,20260202,2
YU_H6-Weekday,20260203,2
YU_H6-Weekday,20260204,2
YU_H6-Weekday,20260205,2
YU_H6-Weekday,20260206,2
YU_H6-Weekday,20260209,2
YU_H6-Weekday,20260210,2
YU_H6-Weekday,20260211,2
YU_H6-Weekday,20260212,2
YU_H6-Weekday,20260213,2
