nta2020,ntaname,boroname,Total Votes,Zohran Kwame Mamdani,Zohran Kwame Mamdani (%),Andrew M. Cuomo (%),Curtis A. Sliwa (%),winning_candidate,winning_percentage,income_score,car_score,bus_subway_score,reliability_score,ridership_score,index_score,index_no_car
MN1101,East Harlem (South),Manhattan,13500,8180,60.59,34.3,4.07,Zohran Kwame Mamdani,60.59,0.938590493122272,0.944516129032258,0.9423,0.734103473239313,0.9378103180832218,0.909688,0.900982
MN0902,Manhattanville-West Harlem,Manhattan,5693,3986,70.02,26.23,2.86,Zohran Kwame Mamdani,70.02,0.87918105462295,0.9483870967741936,0.9744,0.8115773861160354,0.7899276673469675,0.884075,0.867997
BX0601,West Farms,Bronx,2583,1290,49.94,43.98,4.84,Zohran Kwame Mamdani,49.94,1.0,0.752258064516129,0.9394,0.7445197077438139,0.7845557772367387,0.856921,0.883086
MN0903,Hamilton Heights-Sugar Hill,Manhattan,12219,8779,71.85,24.56,2.56,Zohran Kwame Mamdani,71.85,0.8044149657538149,0.9483870967741936,0.9538,0.7711373192228158,0.7789371480363187,0.852999,0.829152
BK1101,Bensonhurst,Brooklyn,13692,4534,33.11,50.52,15.77,Andrew M. Cuomo,50.52,0.7768157315919633,0.7483870967741936,0.9306,0.756043311375024,1.0,0.843408,0.867163
BK1303,Brighton Beach,Brooklyn,5746,1447,25.18,65.56,8.53,Andrew M. Cuomo,65.56,0.8729956579712127,0.7638709677419355,0.9744,0.850785074476376,0.7484089936456482,0.843203,0.863036
BK1401,Flatbush,Brooklyn,16299,12355,75.8,21.39,1.9,Zohran Kwame Mamdani,75.8,0.7270818375556999,0.8270967741935484,0.9718,0.807594398550763,0.8886584291273641,0.840421,0.843752
BK1701,East Flatbush-Erasmus,Brooklyn,10852,8130,74.92,22.49,1.82,Zohran Kwame Mamdani,74.92,0.7301503185294085,0.8348387096774194,0.9444,0.8365946048437559,0.8818383727904918,0.840242,0.841593
MN0901,Morningside Heights,Manhattan,9104,6636,72.89,24.11,1.87,Zohran Kwame Mamdani,72.89,0.7351561876759319,0.9367741935483872,0.9655,0.8152992249100051,0.7541631803464176,0.837371,0.812521
QN0705,East Flushing,Queens,4527,1658,36.62,49.06,13.17,Andrew M. Cuomo,49.06,0.783314529271656,0.5741935483870968,1.0,0.823428388812221,0.985922881890894,0.831366,0.895659
BX0603,Belmont,Bronx,3449,1925,55.81,36.68,6.12,Zohran Kwame Mamdani,55.81,0.9845350838205296,0.8296774193548387,1.0,0.7679063574029865,0.5191048142531185,0.831076,0.831426
MN0301,Chinatown-Two Bridges,Manhattan,7540,3969,52.64,39.38,7.08,Zohran Kwame Mamdani,52.64,0.9593490375739342,0.9393548387096774,0.9767,0.7645248377598085,0.4265714396288984,0.823041,0.793963
MN1202,Washington Heights (North),Manhattan,19771,12543,63.44,31.93,3.61,Zohran Kwame Mamdani,63.44,0.7672541511390703,0.9225806451612903,0.9296,0.7870255850737689,0.6997421101938243,0.820252,0.79467
MN1001,Harlem (South),Manhattan,14807,10707,72.31,24.43,2.08,Zohran Kwame Mamdani,72.31,0.7178649982335579,0.927741935483871,0.9241,0.7734764551712219,0.7673066963905614,0.819317,0.792211
BK1204,Mapleton-Midwood (West),Brooklyn,11205,1214,10.83,84.11,4.47,Andrew M. Cuomo,84.11,0.7560229979372515,0.6593548387096774,0.9344,0.7536949036481333,0.9907382285304024,0.818959,0.85886
MN1002,Harlem (North),Manhattan,17583,11877,67.55,28.86,2.22,Zohran Kwame Mamdani,67.55,0.8425359271542047,0.8980645161290323,0.9537,0.7106701177139481,0.6386618497703305,0.81532,0.794634
MN1201,Washington Heights (South),Manhattan,15315,9975,65.13,30.56,3.38,Zohran Kwame Mamdani,65.13,0.7847561740002507,0.9187096774193548,0.9406,0.7988078183543095,0.6353121082319222,0.814935,0.788991
BK1602,Brownsville,Brooklyn,7097,4023,56.69,39.03,2.93,Zohran Kwame Mamdani,56.69,0.911250527083547,0.8387096774193549,0.9192,0.8124524418318821,0.5649307549055148,0.814249,0.808133
BX0903,Castle Hill-Unionport,Bronx,5961,3444,57.78,36.1,5.35,Zohran Kwame Mamdani,57.78,0.8320911256225284,0.5896774193548386,1.0,0.7816279989451524,0.8520588226517076,0.813614,0.869598
BK1201,Sunset Park (East)-Borough Park (West),Brooklyn,3769,1566,41.55,50.6,6.61,Andrew M. Cuomo,50.6,0.7936596122944374,0.8709677419354839,0.9565,0.7481361688374724,0.6781458944110309,0.811758,0.796956
BX0701,University Heights (North)-Fordham,Bronx,5191,2694,51.9,42.02,5.14,Zohran Kwame Mamdani,51.9,0.9217864998233558,0.8270967741935484,0.9636,0.7762611376272037,0.5303531895329961,0.811096,0.807096
BX0503,Fordham Heights,Bronx,2799,1473,52.63,40.84,5.11,Zohran Kwame Mamdani,52.63,0.9527448231848382,0.8761290322580645,0.8696,0.7769969226732387,0.5347860352338976,0.810839,0.794516
BK1202,Borough Park,Brooklyn,22027,1598,7.25,87.57,2.8,Andrew M. Cuomo,87.57,0.8282277456779149,0.7393548387096773,0.9213,0.7400158041571858,0.7921709725927775,0.808624,0.825942
BX0602,Tremont,Bronx,3304,1797,54.39,39.62,4.81,Zohran Kwame Mamdani,54.39,0.9587792175231062,0.7212903225806451,1.0,0.6725628417920619,0.6091213308421433,0.806662,0.828004
BX0402,Highbridge,Bronx,3544,1926,54.35,40.01,4.15,Zohran Kwame Mamdani,54.35,0.9000307702827447,0.8567741935483871,1.0,0.9233719006545908,0.3320679464815475,0.801282,0.787409
BX0101,Mott Haven-Port Morris,Bronx,7641,4461,58.38,35.86,4.54,Zohran Kwame Mamdani,58.38,0.9895039146637492,0.864516129032258,0.9231,0.7647699689558782,0.405108694478283,0.800636,0.784667
BX0301,Morrisania,Bronx,4376,2419,55.28,39.17,4.34,Zohran Kwame Mamdani,55.28,0.9883300853590437,0.7754838709677419,1.0,0.7761258649089964,0.4046485387773864,0.799528,0.805539
BK1702,East Flatbush-Farragut,Brooklyn,7536,5071,67.29,29.56,2.08,Zohran Kwame Mamdani,67.29,0.7047876280670564,0.6670967741935484,1.0,0.7426330276002296,0.8917746210268539,0.799366,0.832433
BK0503,East New York-New Lots,Brooklyn,8293,4833,58.28,37.19,2.92,Zohran Kwame Mamdani,58.28,0.8318717449029597,0.7458064516129033,0.9717,0.8590869092436713,0.5841310639769973,0.797158,0.809996
QN0707,Flushing-Willets Point,Queens,7625,3218,42.2,46.56,9.89,Andrew M. Cuomo,46.56,0.8537613821555152,0.8335483870967741,0.9859,0.5899310600515437,0.652991804331594,0.796418,0.787135
BK1704,East Flatbush-Remsen Village,Brooklyn,5828,3516,60.33,37.05,1.75,Zohran Kwame Mamdani,60.33,0.7956938698758932,0.7367741935483871,1.0,0.8102994119627958,0.631031068712864,0.794029,0.808343
BX0302,Claremont Village-Claremont (East),Bronx,2619,1526,58.27,38.14,2.33,Zohran Kwame Mamdani,58.27,0.9460237956853226,0.7703225806451612,1.0,0.7975099700801369,0.4079164447419663,0.79178,0.797145
BK1403,Midwood,Brooklyn,14110,2698,19.12,76.19,3.98,Andrew M. Cuomo,76.19,0.7398059192906881,0.6632258064516129,0.9697,0.8085984280945151,0.7905541879116071,0.790937,0.822865
BX0801,Kingsbridge Heights-Van Cortlandt Village,Bronx,4997,2627,52.57,39.52,6.7,Zohran Kwame Mamdani,52.57,0.8297149760105759,0.784516129032258,1.0,0.7733011960414027,0.5517078987938107,0.790669,0.792207
QN0706,Queensboro Hill,Queens,2841,1071,37.7,50.58,10.88,Andrew M. Cuomo,50.58,0.7676387796733791,0.5703225806451613,1.0,0.6672160275773484,0.9230517969193744,0.790667,0.845753
BK0103,South Williamsburg,Brooklyn,6368,994,15.61,76.92,3.5,Andrew M. Cuomo,76.92,0.9154671954596738,0.8374193548387097,0.92,0.778027499383459,0.4611035028825506,0.789275,0.77724
BK1301,Gravesend (South),Brooklyn,5553,1367,24.62,61.5,13.07,Andrew M. Cuomo,61.5,0.8304557420766522,0.6451612903225806,0.9592,0.8249705717692848,0.6787778562581035,0.787987,0.823694
BK1501,Gravesend (East)-Homecrest,Brooklyn,12664,1459,11.52,82.17,5.93,Andrew M. Cuomo,82.17,0.7665646688775685,0.6774193548387097,0.9661,0.8466109963377972,0.7016353064711327,0.787664,0.815225
BX0201,Hunts Point,Bronx,1779,906,50.93,42.61,5.34,Zohran Kwame Mamdani,50.93,0.9593404902731716,0.8193548387096774,0.9762,0.6963345213145807,0.4189945285269403,0.787195,0.779155
BX0303,Crotona Park East,Bronx,3768,1968,52.23,41.19,5.33,Zohran Kwame Mamdani,52.23,0.959058429348012,0.7741935483870968,0.925,0.8358642044195012,0.3988505874049091,0.784753,0.787393
BX0401,Concourse-Concourse Village,Bronx,10461,6077,58.09,36.74,3.94,Zohran Kwame Mamdani,58.09,0.8983811412355978,0.8348387096774194,0.9231,0.8014830310612123,0.4415138481837748,0.784708,0.772176
BX0702,Bedford Park,Bronx,7939,4262,53.68,39.39,5.61,Zohran Kwame Mamdani,53.68,0.923074293138227,0.8516129032258064,0.9565,0.7715977791885166,0.3770256961842799,0.783536,0.766517
BK0902,Prospect Lefferts Gardens-Wingate,Brooklyn,13029,9228,70.83,27.02,1.38,Zohran Kwame Mamdani,70.83,0.6988985378417496,0.8425806451612903,0.9481,0.835070078381019,0.6209430464021553,0.78231,0.767242
BX0102,Melrose,Bronx,5438,2974,54.69,39.72,4.56,Zohran Kwame Mamdani,54.69,0.9952448516758408,0.8503225806451613,0.9423,0.6772857501643175,0.3598788061259233,0.780904,0.76355
BX0901,Soundview-Bruckner-Bronx River,Bronx,8393,4763,56.75,37.07,4.98,Zohran Kwame Mamdani,56.75,0.9402087820666234,0.7470967741935484,0.9455,0.7174705733135687,0.4902400731894842,0.77924,0.787276
BX0904,Parkchester,Bronx,7960,4862,61.08,33.07,4.59,Zohran Kwame Mamdani,61.08,0.8329344592977538,0.7793548387096774,0.9722,0.740541233346572,0.5480194882806237,0.77923,0.779198
BK1703,East Flatbush-Rugby,Brooklyn,7405,4539,61.3,36.16,1.57,Zohran Kwame Mamdani,61.3,0.7344496108129053,0.6787096774193548,1.0,0.8341410441094377,0.6692465583230375,0.778325,0.803229
BK1103,Gravesend (West),Brooklyn,9295,2586,27.82,57.35,14.34,Andrew M. Cuomo,57.35,0.7393472141497714,0.7406451612903225,0.9318,0.8148249006063885,0.6730577441481209,0.776161,0.78504
BK1302,Coney Island-Sea Gate,Brooklyn,11206,2636,23.52,66.47,9.25,Andrew M. Cuomo,66.47,0.8807167196599314,0.6903225806451613,0.9604,0.8420340117967903,0.4959892803171553,0.775827,0.797203
BX0403,Mount Eden-Claremont (West),Bronx,5607,3072,54.79,39.86,4.28,Zohran Kwame Mamdani,54.79,0.9155897067706018,0.8206451612903226,0.9318,0.8323906937367852,0.350868193565983,0.774419,0.762862
BX0502,Mount Hope,Bronx,4787,2557,53.42,41.05,4.22,Zohran Kwame Mamdani,53.42,0.928601547631258,0.824516129032258,0.913,0.6966846307251955,0.4508215156042845,0.774321,0.761772
BK0302,Bedford-Stuyvesant (East),Brooklyn,23102,18161,78.61,18.83,1.45,Zohran Kwame Mamdani,78.61,0.7576213431798238,0.7987096774193548,0.9827,0.8102106279666634,0.5343259450249823,0.774084,0.767928
BX0501,University Heights (South)-Morris Heights,Bronx,6685,3453,51.65,42.83,4.31,Zohran Kwame Mamdani,51.65,0.9557933604567678,0.7948387096774193,1.0,0.6798964964729395,0.3435079468985719,0.768602,0.762043
BK1203,Kensington,Brooklyn,11838,7957,67.22,28.4,3.6,Zohran Kwame Mamdani,67.22,0.6684188633229626,0.7974193548387096,0.9535,0.810057603526702,0.6432099957178484,0.767439,0.759944
QN0402,Corona,Queens,7625,3890,51.02,40.25,7.59,Zohran Kwame Mamdani,51.02,0.7625502866194855,0.807741935483871,0.9286,0.5476120819537296,0.7355349590407608,0.767155,0.757008
BK1402,Flatbush (West)-Ditmas Park-Parkville,Brooklyn,13028,8691,66.71,29.5,2.9,Zohran Kwame Mamdani,66.71,0.645287018359602,0.7496774193548387,0.913,0.7982642067113936,0.7642363744128311,0.766444,0.770636
BK1801,Flatlands,Brooklyn,16004,8402,52.5,42.08,4.62,Zohran Kwame Mamdani,52.5,0.6580538365984022,0.5780645161290322,1.0,0.7896384081736327,0.8301837971513352,0.764609,0.811245
BK0703,Sunset Park (Central),Brooklyn,4938,2798,56.66,33.48,8.67,Zohran Kwame Mamdani,56.66,0.820911256225284,0.863225806451613,0.9796,0.8470149522628032,0.2957203333379484,0.759989,0.73418
BK0901,Crown Heights (South),Brooklyn,13778,7448,54.06,43.34,1.93,Zohran Kwame Mamdani,54.06,0.6809919427444813,0.8451612903225807,0.9259,0.8526821264770991,0.5191424569844033,0.756191,0.733948
BK0401,Bushwick (West),Brooklyn,14408,12349,85.71,11.58,2.3,Zohran Kwame Mamdani,85.71,0.6410133679783925,0.9032258064516128,0.9324,0.7760789710521506,0.5609022890626026,0.755971,0.719157
BX0202,Longwood,Bronx,4695,2404,51.2,42.3,5.58,Zohran Kwame Mamdani,51.2,0.9421119810363888,0.7754838709677419,0.9286,0.7434828425032483,0.3365093371154682,0.755169,0.75009
BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,Brooklyn,16535,3317,20.06,63.42,15.77,Andrew M. Cuomo,63.42,0.741538172245205,0.5780645161290322,0.9826,0.8260697510648042,0.6674625138483606,0.75492,0.799134
BX1101,Pelham Parkway-Van Nest,Bronx,4954,2780,56.12,33.89,8.96,Zohran Kwame Mamdani,56.12,0.814751501475834,0.6619354838709677,0.9459,0.7599592752508867,0.5771266795694638,0.754674,0.777859
BK0301,Bedford-Stuyvesant (West),Brooklyn,22409,16973,75.74,21.56,1.48,Zohran Kwame Mamdani,75.74,0.636722622995658,0.8696774193548387,0.9453,0.8042195496335587,0.5529919679893022,0.753407,0.72434
BX0802,Kingsbridge-Marble Hill,Bronx,3891,2147,55.18,37.32,6.45,Zohran Kwame Mamdani,55.18,0.8145406680570276,0.7316129032258065,0.9091,0.7224493777684318,0.5662808905035811,0.753401,0.758848
