"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)",
"1400000US36001000100","Census Tract 1; Albany County; New York","51551","6925",
"1400000US36001000201","Census Tract 2.01; Albany County; New York","54013","32681",
"1400000US36001000202","Census Tract 2.02; Albany County; New York","41952","26468",
"1400000US36001000301","Census Tract 3.01; Albany County; New York","42912","16296",
"1400000US36001000302","Census Tract 3.02; Albany County; New York","44730","21748",
"1400000US36001000401","Census Tract 4.01; Albany County; New York","83359","15606",
"1400000US36001000403","Census Tract 4.03; Albany County; New York","111646","36373",
"1400000US36001000404","Census Tract 4.04; Albany County; New York","-","**",
"1400000US36001000501","Census Tract 5.01; Albany County; New York","28311","12601",
"1400000US36001000502","Census Tract 5.02; Albany County; New York","57115","14030",
"1400000US36001000600","Census Tract 6; Albany County; New York","30368","4827",
"1400000US36001000700","Census Tract 7; Albany County; New York","56555","8347",
"1400000US36001000800","Census Tract 8; Albany County; New York","-","**",
"1400000US36001001100","Census Tract 11; Albany County; New York","56591","15811",
"1400000US36001001400","Census Tract 14; Albany County; New York","64348","5193",
"1400000US36001001500","Census Tract 15; Albany County; New York","38365","17187",
"1400000US36001001600","Census Tract 16; Albany County; New York","61154","21401",
"1400000US36001001700","Census Tract 17; Albany County; New York","87940","9393",
"1400000US36001001802","Census Tract 18.02; Albany County; New York","80266","11789",
"1400000US36001001803","Census Tract 18.03; Albany County; New York","92702","40515",
"1400000US36001001804","Census Tract 18.04; Albany County; New York","105027","10400",
"1400000US36001001901","Census Tract 19.01; Albany County; New York","92784","28182",
"1400000US36001001902","Census Tract 19.02; Albany County; New York","100197","11852",
"1400000US36001002000","Census Tract 20; Albany County; New York","83597","7592",
"1400000US36001002100","Census Tract 21; Albany County; New York","39671","31715",
"1400000US36001002200","Census Tract 22; Albany County; New York","51667","17921",
"1400000US36001002300","Census Tract 23; Albany County; New York","54265","12153",
"1400000US36001002500","Census Tract 25; Albany County; New York","26613","25381",
"1400000US36001002600","Census Tract 26; Albany County; New York","69874","16544",
"1400000US36001012700","Census Tract 127; Albany County; New York","71875","16555",
"1400000US36001012800","Census Tract 128; Albany County; New York","41367","11235",
"1400000US36001012900","Census Tract 129; Albany County; New York","38750","21993",
"1400000US36001013000","Census Tract 130; Albany County; New York","69190","12268",
"1400000US36001013100","Census Tract 131; Albany County; New York","59406","21753",
"1400000US36001013200","Census Tract 132; Albany County; New York","56858","7974",
"1400000US36001013300","Census Tract 133; Albany County; New York","48777","18218",
"1400000US36001013400","Census Tract 134; Albany County; New York","70899","8071",
"1400000US36001013503","Census Tract 135.03; Albany County; New York","107500","24373",
"1400000US36001013505","Census Tract 135.05; Albany County; New York","93967","16710",
"1400000US36001013507","Census Tract 135.07; Albany County; New York","90478","14757",
"1400000US36001013509","Census Tract 135.09; Albany County; New York","98424","32850",
"1400000US36001013510","Census Tract 135.10; Albany County; New York","105648","19102",
"1400000US36001013511","Census Tract 135.11; Albany County; New York","127656","33478",
"1400000US36001013512","Census Tract 135.12; Albany County; New York","126875","14680",
"1400000US36001013602","Census Tract 136.02; Albany County; New York","80583","11038",
"1400000US36001013603","Census Tract 136.03; Albany County; New York","95847","11151",
"1400000US36001013604","Census Tract 136.04; Albany County; New York","119554","34581",
"1400000US36001013703","Census Tract 137.03; Albany County; New York","108790","26066",
"1400000US36001013706","Census Tract 137.06; Albany County; New York","200083","36676",
"1400000US36001013707","Census Tract 137.07; Albany County; New York","136638","23796",
"1400000US36001013708","Census Tract 137.08; Albany County; New York","94665","22349",
"1400000US36001013709","Census Tract 137.09; Albany County; New York","130489","21065",
"1400000US36001013802","Census Tract 138.02; Albany County; New York","124063","29917",
"1400000US36001013803","Census Tract 138.03; Albany County; New York","75795","28462",
"1400000US36001013804","Census Tract 138.04; Albany County; New York","76466","15718",
"1400000US36001013901","Census Tract 139.01; Albany County; New York","91827","8273",
"1400000US36001013902","Census Tract 139.02; Albany County; New York","107188","6329",
"1400000US36001014001","Census Tract 140.01; Albany County; New York","87500","16498",
"1400000US36001014002","Census Tract 140.02; Albany County; New York","89823","12338",
"1400000US36001014100","Census Tract 141; Albany County; New York","133594","32979",
"1400000US36001014201","Census Tract 142.01; Albany County; New York","131571","20561",
"1400000US36001014202","Census Tract 142.02; Albany County; New York","126397","14801",
"1400000US36001014203","Census Tract 142.03; Albany County; New York","146875","20990",
"1400000US36001014301","Census Tract 143.01; Albany County; New York","86190","20190",
"1400000US36001014303","Census Tract 143.03; Albany County; New York","140313","33286",
"1400000US36001014304","Census Tract 143.04; Albany County; New York","92541","18711",
"1400000US36001014401","Census Tract 144.01; Albany County; New York","111133","18544",
"1400000US36001014402","Census Tract 144.02; Albany County; New York","77217","11173",
"1400000US36001014501","Census Tract 145.01; Albany County; New York","127273","18018",
"1400000US36001014502","Census Tract 145.02; Albany County; New York","124293","11628",
"1400000US36001014503","Census Tract 145.03; Albany County; New York","111172","12182",
"1400000US36001014606","Census Tract 146.06; Albany County; New York","137604","16296",
"1400000US36001014608","Census Tract 146.08; Albany County; New York","89167","21684",
"1400000US36001014609","Census Tract 146.09; Albany County; New York","91130","14977",
"1400000US36001014611","Census Tract 146.11; Albany County; New York","124306","18038",
"1400000US36001014612","Census Tract 146.12; Albany County; New York","112159","19448",
"1400000US36001014613","Census Tract 146.13; Albany County; New York","112000","30670",
"1400000US36001014614","Census Tract 146.14; Albany County; New York","106250","26447",
"1400000US36001014615","Census Tract 146.15; Albany County; New York","88355","18029",
"1400000US36001014616","Census Tract 146.16; Albany County; New York","143777","18848",
"1400000US36001014617","Census Tract 146.17; Albany County; New York","128929","23746",
"1400000US36001014700","Census Tract 147; Albany County; New York","124083","14313",
"1400000US36001014801","Census Tract 148.01; Albany County; New York","105219","33119",
"1400000US36001014802","Census Tract 148.02; Albany County; New York","90324","25699",
"1400000US36001014803","Census Tract 148.03; Albany County; New York","99167","20061",
"1400000US36003940200","Census Tract 9402; Allegany County; New York","-","**",
"1400000US36003950100","Census Tract 9501; Allegany County; New York","67176","8835",
"1400000US36003950300","Census Tract 9503; Allegany County; New York","75605","7498",
"1400000US36003950401","Census Tract 9504.01; Allegany County; New York","70227","14400",
"1400000US36003950402","Census Tract 9504.02; Allegany County; New York","69643","14369",
"1400000US36003950500","Census Tract 9505; Allegany County; New York","66116","9440",
"1400000US36003950600","Census Tract 9506; Allegany County; New York","58693","7092",
"1400000US36003950700","Census Tract 9507; Allegany County; New York","57798","11217",
"1400000US36003950800","Census Tract 9508; Allegany County; New York","59327","7428",
"1400000US36003950900","Census Tract 9509; Allegany County; New York","63856","6840",
"1400000US36003951000","Census Tract 9510; Allegany County; New York","67940","8788",
"1400000US36003951100","Census Tract 9511; Allegany County; New York","61488","6440",
