bus_route,days_recorded,avg_ridership,total_ridership_all_days
B1,48,13165.729166666666,631955.0
B100,50,4310.34,215517.0
B101,51,0.0,0.0
B102,1,0.0,0.0
B103,49,7504.591836734694,367725.0
B106,51,0.43137254901960786,22.0
B11,50,7128.48,356424.0
B111,51,0.5294117647058824,27.0
B12,51,5732.549019607844,292360.0
B13,51,4174.0,212874.0
B14,47,2575.127659574468,121031.0
B15,48,7435.854166666667,356921.0
B16,51,3879.9607843137255,197878.0
B17,49,5209.34693877551,255258.0
B2,51,1729.9803921568628,88229.0
B20,50,3337.7,166885.0
B24,49,1951.4285714285713,95620.0
B25,51,4067.5098039215686,207443.0
B26,50,5563.4,278170.0
B3,50,7931.2,396560.0
B31,48,2380.1458333333335,114247.0
B32,51,826.0,42126.0
B35,49,13566.877551020409,664777.0
B36,49,8115.755102040816,397672.0
B37,51,1552.686274509804,79187.0
B38,49,11925.408163265307,584345.0
B39,50,154.34,7717.0
B4,48,4835.4375,232101.0
B41,50,13768.86,688443.0
B42,51,976.4313725490196,49798.0
B43,49,5472.755102040816,268165.0
B44,49,8550.836734693878,418991.0
B44+,47,8353.404255319148,392610.0
B45,49,2900.2448979591836,142112.0
B46,50,8593.56,429678.0
B46+,48,9124.333333333334,437968.0
B47,49,4657.571428571428,228221.0
B48,49,2217.326530612245,108649.0
B49,49,7250.163265306122,355258.0
B52,48,6533.104166666667,313589.0
B54,50,5197.04,259852.0
B57,47,5502.340425531915,258610.0
B6,49,18866.34693877551,924451.0
B60,48,4520.541666666667,216986.0
B61,49,6841.244897959184,335221.0
B62,49,5133.081632653061,251521.0
B63,51,7674.941176470588,391422.0
B64,49,3695.714285714286,181090.0
B65,50,2018.48,100924.0
B67,50,3696.18,184809.0
B68,49,8568.877551020409,419875.0
B69,49,3376.9795918367345,165472.0
B7,50,2957.84,147892.0
B70,48,5148.458333333333,247126.0
B74,49,2315.918367346939,113480.0
B8,50,10884.18,544209.0
B82,49,9522.673469387755,466611.0
B82+,49,8235.510204081633,403540.0
B83,49,3163.7755102040815,155025.0
B84,48,294.4791666666667,14135.0
B9,48,8677.791666666666,416534.0
B90,49,0.0,0.0
B91,48,0.0,0.0
B91A,50,0.0,0.0
B92,51,0.0,0.0
B93,49,0.0,0.0
B94,49,0.0,0.0
B96,50,0.0,0.0
B98,49,0.02040816326530612,1.0
B98V,49,0.0,0.0
B99,49,0.02040816326530612,1.0
BM1,49,977.469387755102,47896.0
BM2,50,796.36,39818.0
BM3,50,687.7,34385.0
BM4,48,515.3958333333334,24739.0
BM5,48,777.3333333333334,37312.0
BX1,50,6528.92,326446.0
BX10,46,6469.021739130435,297575.0
BX11,49,6024.591836734694,295205.0
BX12,48,5143.833333333333,246904.0
