NTACode,Score
BK0101,0.658507
BK0102,0.628339
BK0103,0.767058
BK0104,0.70703
BK0201,0.536932
BK0202,0.586588
BK0203,0.622804
BK0204,0.623093
BK0301,0.689429
BK0302,0.717695
BK0401,0.701208
BK0402,0.698796
BK0501,0.653685
BK0502,0.660366
BK0503,0.715758
BK0504,0.470436
BK0505,0.722145
BK0571,0.247766
BK0601,0.581725
BK0602,0.515035
BK0701,0.600399
BK0702,0.708151
BK0703,0.745926
BK0771,0.269442
BK0801,0.552803
BK0802,0.708183
BK0891,0.259522
BK0901,0.683197
BK0902,0.697
BK1001,0.661604
BK1002,0.676224
BK1061,0.58582
BK1091,0.294141
BK1101,0.708244
BK1102,0.642963
BK1103,0.683878
BK1201,0.75211
BK1202,0.722732
BK1203,0.682225
BK1204,0.680878
BK1301,0.693426
BK1302,0.717523
BK1303,0.735357
BK1401,0.713013
BK1402,0.655147
BK1403,0.675309
BK1501,0.679192
BK1502,0.667201
BK1503,0.654509
BK1601,0.701416
BK1602,0.759408
BK1701,0.70362
BK1702,0.685277
BK1703,0.680291
BK1704,0.718417
BK1801,0.639601
BK1802,0.560104
BK1803,0.352466
BK1893,0.267213
BK5591,0.284339
BK5691,0.060968
BK5693,0.252555
BX0101,0.80023
BX0102,0.819679
BX0201,0.80562
BX0202,0.768528
BX0301,0.794701
BX0302,0.77618
BX0303,0.75528
BX0391,0.279388
BX0401,0.757451
BX0402,0.759821
BX0403,0.75566
BX0491,0.239976
BX0492,0.258764
BX0501,0.807415
BX0502,0.781439
BX0503,0.775978
BX0601,0.783317
BX0602,0.791336
BX0603,0.808604
BX0701,0.777684
BX0702,0.783314
BX0703,0.741544
BX0801,0.747921
BX0802,0.716763
BX0803,0.644457
BX0901,0.769939
BX0902,0.706919
BX0903,0.698393
BX0904,0.746829
BX1001,0.713699
BX1002,0.578931
BX1003,0.329635
BX1004,0.685627
BX1091,0.25
BX1101,0.701576
BX1102,0.653802
BX1103,0.62
BX1104,0.743367
BX1161,0.29539
BX1201,0.694481
BX1202,0.652533
BX1203,0.65419
BX1271,0.323583
BX2691,0.295595
BX2791,0.277203
MN0101,0.267499
MN0102,0.493342
MN0201,0.59475
MN0202,0.528882
MN0203,0.541315
MN0301,0.822962
MN0302,0.452292
MN0303,0.434294
MN0401,0.655756
MN0402,0.698514
MN0501,0.509175
MN0502,0.589805
MN0601,0.283536
MN0602,0.630453
MN0603,0.35841
MN0604,0.587261
MN0701,0.546432
MN0702,0.598369
MN0703,0.651786
MN0801,0.371133
MN0802,0.510575
MN0803,0.346768
MN0901,0.739936
MN0902,0.79077
MN0903,0.769838
MN1001,0.729766
MN1002,0.780483
MN1101,0.814869
MN1102,0.512735
MN1191,0.557108
MN1201,0.747787
MN1202,0.742745
MN1203,0.454744
MN1291,0.275378
MN1292,0.312262
MN6491,0.275346
QN0101,0.521895
QN0102,0.627945
QN0103,0.419308
QN0104,0.542875
QN0105,0.69016
QN0161,0.036791
QN0201,0.563487
QN0202,0.727699
QN0203,0.820195
QN0271,0.287744
QN0301,0.666617
QN0302,0.821946
QN0303,0.716421
QN0401,0.728355
QN0402,0.757205
QN0501,0.653115
QN0502,0.691506
QN0503,0.639575
QN0504,0.615017
QN0571,0.23389
QN0572,0.25
QN0573,0.302133
QN0574,0.444089
QN0601,0.694125
QN0602,0.626823
QN0701,0.306284
QN0702,0.538736
QN0703,0.552146
QN0704,0.688072
QN0705,0.671441
QN0706,0.694865
QN0707,0.79855
QN0761,0.33071
QN0801,0.61843
QN0802,0.618318
QN0803,0.591191
QN0804,0.599749
QN0805,0.630638
QN0871,0.266129
QN0891,0.285023
QN0901,0.676593
QN0902,0.612655
QN0903,0.593698
QN0904,0.592614
QN0905,0.618857
QN1001,0.598972
QN1002,0.52831
QN1003,0.259151
QN1101,0.586042
QN1102,0.563595
QN1103,0.238873
QN1104,0.564481
QN1191,0.419881
QN1201,0.694434
QN1202,0.623963
QN1203,0.578535
QN1204,0.60992
QN1205,0.554548
QN1206,0.60903
QN1301,0.509544
QN1302,0.547058
QN1303,0.582072
QN1304,0.51329
QN1305,0.522989
QN1306,0.516316
QN1307,0.518805
QN1371,0.266266
QN1401,0.353313
QN1402,0.381184
QN1403,0.209133
QN8191,0.3458
QN8291,0.325026
SI0101,0.671093
SI0102,0.690632
SI0103,0.599693
SI0104,0.569647
SI0105,0.493259
SI0106,0.578785
SI0107,0.310412
SI0191,0.285549
SI0201,0.596909
SI0202,0.555978
SI0203,0.529814
SI0204,0.529652
SI0291,0.291026
SI0301,0.504825
SI0302,0.479452
SI0303,0.492759
SI0304,0.50286
SI0305,0.457882
SI0391,0.305996
SI9561,0.518405
SI9592,0.38455
SI9593,0.267438
