NTACode,Score
BK0101,0.571779
BK0102,0.585064
BK0103,0.705867
BK0104,0.655383
BK0201,0.508593
BK0202,0.565864
BK0203,0.603476
BK0204,0.585624
BK0301,0.662142
BK0302,0.681021
BK0401,0.673147
BK0402,0.647833
BK0501,0.580286
BK0502,0.587667
BK0503,0.689432
BK0504,0.376349
BK0505,0.632961
BK0571,0.262718
BK0601,0.496432
BK0602,0.50936
BK0701,0.576044
BK0702,0.612516
BK0703,0.655885
BK0771,0.296229
BK0801,0.527612
BK0802,0.65843
BK0891,0.273141
BK0901,0.650386
BK0902,0.681789
BK1001,0.569829
BK1002,0.564792
BK1061,0.499316
BK1091,0.33523
BK1101,0.766595
BK1102,0.663262
BK1103,0.681714
BK1201,0.737317
BK1202,0.73662
BK1203,0.674422
BK1204,0.74285
BK1301,0.690496
BK1302,0.673216
BK1303,0.737967
BK1401,0.748142
BK1402,0.676965
BK1403,0.698358
BK1501,0.68368
BK1502,0.642417
BK1503,0.657099
BK1601,0.633487
BK1602,0.720513
BK1701,0.739264
BK1702,0.726576
BK1703,0.678082
BK1704,0.70094
BK1801,0.677717
BK1802,0.583613
BK1803,0.281973
BK1893,0.300277
BK5591,0.384152
BK5691,0.048774
BK5693,0.247885
BX0101,0.721205
BX0102,0.727719
BX0201,0.728295
BX0202,0.682124
BX0301,0.71669
BX0302,0.702527
BX0303,0.683994
BX0391,0.299495
BX0401,0.694263
BX0402,0.67427
BX0403,0.674701
BX0491,0.286949
BX0492,0.309725
BX0501,0.714633
BX0502,0.715315
BX0503,0.72774
BX0601,0.783565
BX0602,0.754893
BX0603,0.750704
BX0701,0.728217
BX0702,0.702057
BX0703,0.665366
BX0801,0.708678
BX0802,0.686667
BX0803,0.628531
BX0901,0.713999
BX0902,0.664222
BX0903,0.729126
BX0904,0.707067
BX1001,0.646884
BX1002,0.509825
BX1003,0.263708
BX1004,0.625135
BX1091,0.265375
BX1101,0.676686
BX1102,0.614254
BX1103,0.534966
BX1104,0.636603
BX1161,0.332834
BX1201,0.612853
BX1202,0.594499
BX1203,0.581222
BX1271,0.302525
BX2691,0.31775
BX2791,0.350541
MN0101,0.213999
MN0102,0.425847
MN0201,0.505105
MN0202,0.478282
MN0203,0.495332
MN0301,0.743684
MN0302,0.361834
MN0303,0.347436
MN0401,0.599304
MN0402,0.621518
MN0501,0.46323
MN0502,0.522587
MN0601,0.226829
MN0602,0.626728
MN0603,0.286728
MN0604,0.583599
MN0701,0.534069
MN0702,0.617255
MN0703,0.655641
MN0801,0.296906
MN0802,0.56238
MN0803,0.277415
MN0901,0.742782
MN0902,0.790602
MN0903,0.771658
MN1001,0.737275
MN1002,0.752119
MN1101,0.839457
MN1102,0.410188
MN1191,0.510097
MN1201,0.725292
MN1202,0.734144
MN1203,0.363795
MN1291,0.395951
MN1292,0.331343
MN6491,0.305434
QN0101,0.557427
QN0102,0.587346
QN0103,0.335446
QN0104,0.574211
QN0105,0.637119
QN0161,0.029433
QN0201,0.497311
QN0202,0.623315
QN0203,0.726515
QN0271,0.271351
QN0301,0.673205
QN0302,0.69988
QN0303,0.57461
QN0401,0.712244
QN0402,0.752871
QN0501,0.63203
QN0502,0.659889
QN0503,0.603803
QN0504,0.56665
QN0571,0.2846
QN0572,0.348947
QN0573,0.3558
QN0574,0.436355
QN0601,0.658454
QN0602,0.606725
QN0701,0.245028
QN0702,0.524719
QN0703,0.512358
QN0704,0.633397
QN0705,0.734338
QN0706,0.740502
QN0707,0.769439
QN0761,0.33793
QN0801,0.622385
QN0802,0.605625
QN0803,0.578752
QN0804,0.563066
QN0805,0.621868
QN0871,0.359017
QN0891,0.363746
QN0901,0.655059
QN0902,0.582828
QN0903,0.537498
QN0904,0.536631
QN0905,0.557898
QN1001,0.609947
QN1002,0.553418
QN1003,0.207321
QN1101,0.59465
QN1102,0.575197
QN1103,0.191099
QN1104,0.606124
QN1191,0.525723
QN1201,0.630778
QN1202,0.548769
QN1203,0.504407
QN1204,0.536651
QN1205,0.497117
QN1206,0.55979
QN1301,0.544995
QN1302,0.592257
QN1303,0.57541
QN1304,0.535758
QN1305,0.461299
QN1306,0.457164
QN1307,0.45629
QN1371,0.263896
QN1401,0.28265
QN1402,0.304947
QN1403,0.167306
QN8191,0.411678
QN8291,0.356263
SI0101,0.54719
SI0102,0.562745
SI0103,0.50072
SI0104,0.470006
SI0105,0.403862
SI0106,0.472968
SI0107,0.24833
SI0191,0.259124
SI0201,0.501536
SI0202,0.465166
SI0203,0.431693
SI0204,0.435353
SI0291,0.247777
SI0301,0.425377
SI0302,0.396107
SI0303,0.394772
SI0304,0.408592
SI0305,0.370769
SI0391,0.244796
SI9561,0.415662
SI9592,0.340007
SI9593,0.245392
