NTACode,income_score,car_score,bus_subway_score,reliability_score,ridership_score,index_score
BK0101,0.4051876417427377,0.8735483870967742,0.9718,0.37626106345901805,0.22486672938768723,0.571779
BK0102,0.3456585410327418,0.9148387096774193,0.9694,0.26272545928374036,0.41196179484924444,0.585064
BK0103,0.9154671954596738,0.8374193548387097,0.92,0.221972500616541,0.46110350288255064,0.705867
BK0104,0.6626266425062965,0.9109677419354839,0.9537,0.1802229362995882,0.44879627268980493,0.655383
BK0201,0.1316227335407478,0.9664516129032258,0.8947,0.16273019970234426,0.3952375776716354,0.508593
BK0202,0.2782915655236077,0.944516129032258,0.9115,0.1899606405588956,0.48297115842295,0.565864
BK0203,0.426949069483857,0.8993548387096775,0.9375,0.1609009621178087,0.5261619928098571,0.603476
BK0204,0.3727477862491025,0.9161290322580645,0.9608,0.19934675227292278,0.4357443535091482,0.585624
BK0261,,,,,,0.0
BK0301,0.636722622995658,0.8696774193548387,0.9453,0.19578045036644137,0.5529919679893022,0.662142
BK0302,0.7576213431798238,0.7987096774193548,0.9827,0.1897893720333365,0.5343259450249823,0.681021
BK0401,0.6410133679783925,0.9032258064516129,0.9324,0.22392102894784938,0.5609022890626026,0.673147
BK0402,0.7442961012912122,0.8064516129032259,0.9158,0.19008285110852755,0.44397913441641024,0.647833
BK0471,,,,,,0.0
BK0501,0.7353071899894014,0.6941935483870967,0.9388,0.08348100673346799,0.2866902317416902,0.580286
BK0502,0.7573763205579678,0.7303225806451612,0.9194,0.060025933128300665,0.2968715994105609,0.587667
BK0503,0.8318717449029597,0.7458064516129033,0.9717,0.1409130907563287,0.5841310639769973,0.689432
BK0504,0.9479754293594084,0.6967741935483871,,,,0.376349
BK0505,0.8716651281525294,0.7187096774193549,0.9722,0.1441159079890476,0.2762259875867002,0.632961
BK0571,,,0.9167,0.0991503424027355,0.3225267199108633,0.262718
BK0601,0.2212098419319179,0.9212903225806451,0.9551,0.23199896308510246,0.15525887831746188,0.496432
BK0602,0.0868890104504996,0.9290322580645162,0.925,0.12999626615160234,0.48665692439764957,0.50936
BK0701,0.3875745039716457,0.8825806451612903,0.9189,0.15419518465902363,0.4786238339585098,0.576044
BK0702,0.7126511447684821,0.8451612903225807,0.9457,0.2012405537505005,0.22997256475602795,0.612516
BK0703,0.820911256225284,0.863225806451613,0.9796,0.15298504773719673,0.29572033333794845,0.655885
BK0771,,,1.0,0.10369116592927864,0.4033790295892035,0.296229
BK0801,0.2060697231814193,0.9238709677419354,0.9394,0.12047362312733613,0.42684867131777027,0.527612
BK0802,0.6836302095798147,0.863225806451613,0.9769,0.18408886048833167,0.4594191474861598,0.65843
BK0891,,,1.0,0.05078355983219994,0.3276175317306471,0.273141
BK0901,0.6809919427444813,0.8451612903225807,0.9259,0.14731787352290093,0.5191424569844033,0.650386
BK0902,0.6988985378417496,0.8425806451612903,0.9481,0.16492992161898107,0.6209430464021553,0.681789
BK1001,0.6286169327726304,0.7432258064516128,0.9799,0.18336003584940194,0.20272944145704636,0.569829
BK1002,0.7432618778989595,0.6761290322580644,1.0,0.13292089490132625,0.1190645818985427,0.564792
BK1061,0.5576771855448049,0.5458064516129032,1.0,0.1338373993164148,0.15329974000651694,0.499316
BK1091,,,1.0,0.2354192881294514,0.4995872167182169,0.33523
BK1101,0.7768157315919633,0.7483870967741936,0.9306,0.24395668862497594,1.0,0.766595
BK1102,0.6428766795445998,0.6335483870967742,0.9787,0.20801014003815352,0.7444594131616254,0.663262
BK1103,0.7393472141497714,0.7406451612903225,0.9318,0.18517509939361157,0.6730577441481209,0.681714
BK1201,0.7936596122944374,0.8709677419354839,0.9565,0.25186383116252764,0.6781458944110309,0.737317
BK1202,0.8282277456779149,0.7393548387096773,0.9213,0.2599841958428141,0.7921709725927775,0.73662
BK1203,0.6684188633229626,0.7974193548387096,0.9535,0.18994239647329803,0.6432099957178484,0.674422
BK1204,0.7560229979372515,0.6593548387096774,0.9344,0.24630509635186668,0.9907382285304025,0.74285
BK1301,0.8304557420766522,0.6451612903225806,0.9592,0.17502942823071518,0.6787778562581035,0.690496
BK1302,0.8807167196599314,0.6903225806451613,0.9604,0.15796598820320973,0.4959892803171553,0.673216
BK1303,0.8729956579712127,0.7638709677419355,0.9744,0.14921492552362403,0.7484089936456482,0.737967
BK1391,,,,,,0.0
BK1401,0.7270818375556999,0.8270967741935484,0.9718,0.19240560144923705,0.8886584291273641,0.748142
BK1402,0.645287018359602,0.7496774193548387,0.913,0.20173579328860636,0.7642363744128311,0.676965
BK1403,0.7398059192906881,0.6632258064516129,0.9697,0.1914015719054849,0.7905541879116071,0.698358
BK1501,0.7665646688775685,0.6774193548387097,0.9661,0.15338900366220282,0.7016353064711327,0.68368
BK1502,0.7363385642814,0.6645161290322581,0.9753,0.14475180975696364,0.5432826867272248,0.642417
BK1503,0.741538172245205,0.5780645161290322,0.9826,0.1739302489351958,0.6674625138483606,0.657099
BK1601,0.784314563460859,0.8051612903225807,0.9385,0.1088107966307588,0.3617701430912218,0.633487
BK1602,0.911250527083547,0.8387096774193549,0.9192,0.18754755816811786,0.5649307549055148,0.720513
BK1701,0.7301503185294085,0.8348387096774194,0.9444,0.16340539515624408,0.8818383727904918,0.739264
BK1702,0.7047876280670564,0.6670967741935484,1.0,0.25736697239977036,0.8917746210268539,0.726576
BK1703,0.7344496108129053,0.6787096774193548,1.0,0.16585895589056238,0.6692465583230375,0.678082
BK1704,0.7956938698758932,0.7367741935483871,1.0,0.18970058803720422,0.631031068712864,0.70094
BK1771,,,,,,0.0
BK1801,0.6580538365984022,0.5780645161290322,1.0,0.21036159182636724,0.8301837971513352,0.677717
BK1802,0.5247928704115241,0.4554838709677419,1.0,0.17192310371921124,0.6776472215386292,0.583613
BK1803,0.661310358188884,0.5832258064516129,,,,0.281973
BK1891,,,,,,0.0
BK1892,,,,,,0.0
BK1893,,,1.0,0.09180125602151115,0.4325341032956043,0.300277
BK5591,,,1.0,0.1831438702600249,0.7834014677111727,0.384152
BK5691,,0.2438709677419355,,,,0.048774
BK5692,,,,,,0.0
BK5693,,,1.0,0.013625262948278913,0.2292062087215671,0.247885
BX0101,0.9895039146637492,0.864516129032258,0.9231,0.23523003104412182,0.40510869447828307,0.721205
BX0102,0.9952448516758408,0.8503225806451613,0.9423,0.3227142498356826,0.3598788061259233,0.727719
BX0201,0.9593404902731716,0.8193548387096774,0.9762,0.30366547868541927,0.4189945285269403,0.728295
BX0202,0.9421119810363888,0.7754838709677419,0.9286,0.2565171574967517,0.33650933711546827,0.682124
BX0291,,,,,,0.0
BX0301,0.9883300853590437,0.7754838709677419,1.0,0.22387413509100362,0.4046485387773864,0.71669
BX0302,0.9460237956853226,0.7703225806451612,1.0,0.20249002991986303,0.4079164447419663,0.702527
BX0303,0.959058429348012,0.7741935483870968,0.925,0.16413579558049884,0.3988505874049091,0.683994
BX0391,,,1.0,0.15673638126292144,0.37992260362321867,0.299495
BX0401,0.8983811412355978,0.8348387096774194,0.9231,0.19851696893878767,0.44151384818377487,0.694263
BX0402,0.9000307702827447,0.8567741935483871,1.0,0.07662809934540919,0.3320679464815475,0.67427
BX0403,0.9155897067706018,0.8206451612903226,0.9318,0.16760930626321477,0.350868193565983,0.674701
BX0491,,,0.8571,0.13706944321632145,0.47484378350722783,0.286949
BX0492,,,1.0,0.046739827563136126,0.5135686867616192,0.309725
BX0501,0.9557933604567678,0.7948387096774193,1.0,0.3201035035270605,0.3435079468985719,0.714633
BX0502,0.928601547631258,0.824516129032258,0.913,0.30331536927480457,0.4508215156042845,0.715315
BX0503,0.9527448231848382,0.8761290322580645,0.8696,0.22300307732676128,0.5347860352338976,0.72774
BX0601,1.0,0.752258064516129,0.9394,0.255480292256186,0.7845557772367387,0.783565
BX0602,0.9587792175231062,0.7212903225806451,1.0,0.3274371582079381,0.6091213308421433,0.754893
BX0603,0.9845350838205296,0.8296774193548387,1.0,0.23209364259701343,0.5191048142531185,0.750704
BX0701,0.9217864998233558,0.8270967741935484,0.9636,0.22373886237279625,0.5303531895329961,0.728217
BX0702,0.923074293138227,0.8516129032258064,0.9565,0.2284022208114834,0.3770256961842799,0.702057
BX0703,0.8840245250549876,0.7612903225806451,0.9231,0.23567148276400582,0.3606561000716817,0.665366
BX0801,0.8297149760105759,0.784516129032258,1.0,0.2266988039585973,0.5517078987938107,0.708678
BX0802,0.8145406680570276,0.7316129032258065,0.9091,0.27755062223156823,0.5662808905035811,0.686667
BX0803,0.5937297001606893,0.5729032258064516,1.0,0.35035271187038064,0.5648260928541953,0.628531
