NTACode,median_income,income_score
BK0101,133636.0,0.4051876417427377
BK0102,144083.0,0.34565854103274185
BK0103,44085.0,0.9154671954596738
BK0104,88457.0,0.6626266425062965
BK0201,181645.0,0.13162273354074783
BK0202,155905.5,0.2782915655236077
BK0203,129817.0,0.426949069483857
BK0204,139329.0,0.37274778624910254
BK0301,93003.0,0.636722622995658
BK0302,71786.0,0.7576213431798238
BK0401,92250.0,0.6410133679783925
BK0402,74124.5,0.7442961012912122
BK0501,75702.0,0.7353071899894014
BK0502,71829.0,0.7573763205579678
BK0503,58755.5,0.8318717449029597
BK0504,38380.0,0.9479754293594083
BK0505,51772.0,0.8716651281525294
BK0601,165923.0,0.22120984193191795
BK0602,189495.5,0.08688901045049968
BK0701,136727.0,0.3875745039716457
BK0702,79678.0,0.7126511447684821
BK0703,60679.0,0.820911256225284
BK0801,168580.0,0.20606972318141936
BK0802,84771.0,0.6836302095798147
BK0901,85234.0,0.6809919427444813
BK0902,82091.5,0.6988985378417496
BK1001,94425.5,0.6286169327726304
BK1002,74306.0,0.7432618778989595
BK1061,106875.0,0.5576771855448049
BK1101,68417.5,0.7768157315919633
BK1102,91923.0,0.6428766795445998
BK1103,74993.0,0.7393472141497714
BK1201,65461.5,0.7936596122944374
BK1202,59395.0,0.8282277456779149
BK1203,87440.5,0.6684188633229626
BK1204,72066.5,0.7560229979372515
BK1301,59004.0,0.8304557420766522
BK1302,50183.5,0.8807167196599314
BK1303,51538.5,0.8729956579712127
BK1401,77145.5,0.7270818375556999
BK1402,91500.0,0.645287018359602
BK1403,74912.5,0.7398059192906881
BK1501,70216.5,0.7665646688775685
BK1502,75521.0,0.7363385642814
BK1503,74608.5,0.741538172245205
BK1601,67101.5,0.784314563460859
BK1602,44825.0,0.911250527083547
BK1701,76607.0,0.7301503185294085
BK1702,81058.0,0.7047876280670564
BK1703,75852.5,0.7344496108129053
BK1704,65104.5,0.7956938698758932
BK1801,89259.5,0.6580538365984022
BK1802,112646.0,0.5247928704115241
BK1803,88688.0,0.661310358188884
BX0101,31092.0,0.9895039146637492
BX0102,30084.5,0.9952448516758408
BX0201,36385.5,0.9593404902731717
BX0202,39409.0,0.9421119810363887
BX0301,31298.0,0.9883300853590437
BX0302,38722.5,0.9460237956853226
BX0303,36435.0,0.9590584293480119
BX0401,47083.5,0.8983811412355978
BX0402,46794.0,0.9000307702827447
BX0403,44063.5,0.9155897067706018
BX0501,37008.0,0.9557933604567678
BX0502,41780.0,0.928601547631258
BX0503,37543.0,0.9527448231848382
BX0601,29250.0,1.0
BX0602,36484.0,0.9587792175231062
BX0603,31964.0,0.9845350838205295
BX0701,42976.0,0.9217864998233558
BX0702,42750.0,0.923074293138227
BX0703,49603.0,0.8840245250549876
BX0801,59134.0,0.8297149760105759
BX0802,61797.0,0.8145406680570276
BX0803,100548.0,0.5937297001606893
BX0901,39743.0,0.9402087820666234
BX0902,53180.5,0.8636392127366178
BX0903,58717.0,0.8320911256225284
BX0904,58569.0,0.8329344592977538
BX1001,53491.0,0.861869921478797
BX1002,91247.0,0.6467286630881968
BX1003,90640.0,0.6501874707967223
BX1004,67234.0,0.783559551893512
BX1101,61760.0,0.814751501475834
BX1102,82885.5,0.6943741666381756
BX1103,87515.5,0.6679914982848416
BX1104,49720.0,0.883357835595519
BX1201,61000.0,0.8190821338621264
BX1202,79386.0,0.7143150193168997
BX1203,87344.5,0.6689658905717575
MN0101,190388.0,0.08180336649686026
MN0102,189250.0,0.0882879186752823
MN0201,146967.0,0.3292249307668639
MN0202,179844.0,0.14188519265615918
MN0203,187647.0,0.0974221340900544
MN0301,36384.0,0.9593490375739342
MN0302,82807.5,0.6948186262778215
MN0303,95632.0,0.6217420538593912
MN0401,128562.0,0.43410031112174774
MN0402,109494.0,0.5427535984136209
MN0501,200235.5,0.025690336991578078
MN0502,163646.0,0.23418464448927034
MN0601,177940.0,0.15273456642392336
MN0602,146179.0,0.3337151127673881
MN0603,136979.0,0.3861385574435593
MN0604,163678.5,0.23399945297275115
MN0701,184896.0,0.11309788368833118
MN0702,154118.0,0.2884770989321572
MN0703,132301.5,0.4127918903210366
MN0801,129472.0,0.4289149486592134
MN0802,204744.0,0.0
MN0803,141343.0,0.36127161042542766
