route_id,NTACode
B82+,
B82+,BK1801
B82+,BK1403
B82+,BK1502
B82+,BK1501
B82+,BK1103
B82+,BK1101
B82+,BK1102
B82+,BK1802
B42,
Q56,BK1601
Q56,BK0502
Q56,BK0501
Q56,QN0905
Q56,QN0902
Q56,QN1201
Q24,QN1201
Q24,QN0902
Q24,QN0905
Q24,BK0501
Q24,BK0502
Q24,BK1601
Q24,BK0402
Q24,BK0302
Q24,BK0505
Q24,QN0904
Q24,QN0903
Q56,QN0805
Q56,BK0571
B15,BK0302
B15,BK0802
B15,BK1602
B15,BK1704
B15,BK0503
B15,BK0505
B15,
B15,QN1001
B15,QN1002
B15,BK1601
B15,BK0401
B17,
B17,BK1704
B17,BK1703
B17,BK0902
B17,BK0901
B17,BK1893
B14,BK0505
B14,BK0502
B14,BK1602
B14,BK0802
B14,BK0901
B14,BK0891
B25,BK0502
B25,BK1601
B25,BK0302
B25,BK0301
B25,BK0204
B25,BK0203
B25,BK0202
B25,BK0201
B83,
B83,BK0503
B83,BK0502
B83,BK0501
B83,BK1601
B83,BK5693
B45,BK0802
B45,BK0801
B45,BK0204
B45,BK0203
B45,BK0202
B45,BK0201
B45,BK0602
B65,BK0802
B65,BK0801
B65,BK0602
B65,BK0202
B65,BK0201
B12,BK0502
B12,BK1601
B12,BK1602
B12,BK0802
B12,BK0891
B12,BK0901
B12,BK0902
B12,BK1701
B12,BK1401
B12,BK1703
B12,BK1704
B84,
B84,BK0505
B84,BK0503
B82,
B82,BK0503
B82,BK1801
B82,BK1403
B82,BK1502
B82,BK1501
B82,BK1103
B82,BK1101
B82,BK1102
B82,BK1301
B82,BK1302
B82,BK1802
B49,BK1503
B49,BK1502
B49,BK1403
B49,BK1401
B49,BK1701
B49,BK0902
B49,BK0901
B49,BK0802
B49,BK0301
B49,BK1402
B49,BK1303
B44+,BK1401
B44+,BK1701
B44+,BK0902
B44+,BK0802
B44+,BK0301
B44+,BK0103
B44+,BK0102
B44+,BK1403
B44+,BK1801
B44+,BK1502
B44+,BK1503
B44+,BK1802
B44,BK1503
B44,BK1502
B44,BK1802
B44,BK1801
B44,BK1403
B44,BK1401
B44,BK1702
B44,BK1701
B44,BK0902
B44,BK0901
B44,BK0802
B44,BK0301
B44,BK0103
B44,BK0102
B41,BK1801
B41,BK1401
B41,BK1701
B41,BK0902
B46+,BK0302
B46+,BK0901
B46+,BK0902
B46+,BK1703
B46+,BK1702
B46+,BK1801
B46+,BK1802
B46,BK0102
B46,BK0103
B46,BK0302
B46,BK0802
B46,BK0901
B46,BK0902
B46,BK1703
B46,BK1702
B46,BK1801
B46,BK1802
B46,BK0401
B46,BK0104
B41,BK1802
B41,BK5591
B41,BK0602
B41,BK0801
B41,BK0203
B41,BK0202
B31,
B31,BK1503
B31,BK1502
B2,BK1502
B2,BK1802
B7,BK1801
B7,BK1703
B7,BK1704
B7,BK1602
B7,BK1601
B7,BK0402
B7,BK0302
B7,BK1702
B7,BK1501
B7,BK1502
B7,BK1403
B7,BK1802
Q54,QN1201
Q54,QN0805
Q54,QN0902
Q54,QN0901
Q54,QN0602
Q54,QN0601
Q54,QN0573
Q54,QN0504
Q54,QN0571
Q54,QN0501
Q54,BK0104
Q54,BK0102
Q54,QN0502
Q54,QN0572
Q54,QN0503
B60,
B60,BK0503
B60,BK1602
B60,BK1601
B60,BK0402
B60,BK0401
B60,BK0104
B60,BK0102
B47,BK0302
B47,BK0802
B47,BK1704
B47,BK1703
B47,BK1801
B47,BK1802
B47,
B47,BK1602
B47,BK1601
B47,BK0402
B47,BK0401
B52,QN0502
B52,BK0402
B52,BK0302
B52,BK0301
B52,BK0204
B52,BK0203
B52,BK0202
B26,BK0202
B26,BK0203
B26,BK0204
B26,BK0301
B26,BK0302
B26,BK1601
B26,BK0402
B26,QN0502
B13,BK0401
B13,QN0502
B13,QN0503
B13,QN0574
B13,BK0571
B13,BK0501
B13,BK0505
B13,
B13,BK0402
Q55,QN0902
Q55,QN8291
Q55,QN0503
Q55,QN0502
Q55,BK0402
Q55,QN0574
B20,QN0502
B20,BK0402
B20,BK1601
B20,BK0502
B20,BK0503
B20,BK0505
B20,BK0501
B54,QN0502
B54,BK0402
B54,BK0401
B54,BK0302
B54,BK0301
B54,BK0204
B54,BK0203
B54,BK0202
Q14,QN0302
Q14,QN0303
Q14,QN0402
Q14,QN0401
Q14,QN0504
Q14,QN0501
Q14,QN0502
Q14,QN0601
Q67,QN0502
Q67,QN0504
Q67,QN0501
