Borough,NTA,NTA Name,CD,NTA Area (sq mi),Total Vehicles,% Use Car,Vehicles Stored,Vehicles Stored per Sq. Mile,Non-Residential
Manhattan,MN6491,Central Park,MN64,1.374269962,0,,,0,True
Manhattan,MN0401,Chelsea-Hudson Yards,MN04,1.064329982,7699,4.4,7360.244,6915,False
Manhattan,MN0301,Chinatown-Two Bridges,MN03,0.414036006,2891,6.1,2714.649,6557,False
Manhattan,MN1102,East Harlem (North),MN11,0.936374009,5531,8.3,5071.927,5417,False
Manhattan,MN1101,East Harlem (South),MN11,0.597379982,5099,5.7,4808.357,8049,False
Manhattan,MN0604,East Midtown-Turtle Bay,MN06,0.471266001,6472,5.4,6122.512,12992,False
Manhattan,MN0303,East Village,MN03,0.680767,6316,4.5,6031.78,8860,False
Manhattan,MN0101,Financial District-Battery Park City,MN01,0.690321982,4787,3.9,4600.307,6664,False
Manhattan,MN0602,Gramercy,MN06,0.26999101,3918,3.0,3800.46,14076,False
Manhattan,MN0202,Greenwich Village,MN02,0.380423993,5142,5.7,4848.906,12746,False
Manhattan,MN0903,Hamilton Heights-Sugar Hill,MN09,0.573363006,4247,5.4,4017.662,7007,False
Manhattan,MN1002,Harlem (North),MN10,0.853375018,9150,9.3,8299.05,9725,False
Manhattan,MN1001,Harlem (South),MN10,0.518009007,6311,7.0,5869.23,11330,False
Manhattan,MN0402,Hell's Kitchen,MN04,0.659376979,5139,4.9,4887.189,7412,False
Manhattan,MN1291,Highbridge Park,MN12,0.278082997,0,,,0,True
Manhattan,MN1203,Inwood,MN12,0.517884016,5075,9.7,4582.725,8849,False
Manhattan,MN1292,Inwood Hill Park,MN12,0.358976007,0,,,0,True
Manhattan,MN0302,Lower East Side,MN03,0.59088701,4531,6.0,4259.14,7208,False
Manhattan,MN0902,Manhattanville-West Harlem,MN09,0.385060012,1930,5.4,1825.78,4742,False
Manhattan,MN0502,Midtown-Times Square,MN05,0.880704999,3007,2.5,2931.825,3329,False
