service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
GH_A6-Sunday,0,0,0,0,0,0,1,20260104,20260322
GH_A6-Weekday-SDon,1,1,1,1,1,0,0,20260105,20260327
GH_A6-Weekday-SDon-BM,1,1,1,1,0,0,1,20260104,20260326
GH_A6-Saturday,0,0,0,0,0,1,0,20260110,20260328
GH_H6-Weekday,1,1,1,1,1,0,0,20260119,20260119
GH_H6-Weekday-BM,1,1,1,1,0,0,1,20260118,20260118
KB_A6-Sunday,0,0,0,0,0,0,1,20260104,20260322
KB_A6-Weekday-SDon,1,1,1,1,1,0,0,20260105,20260327
KB_A6-Saturday,0,0,0,0,0,1,0,20260110,20260328
KB_H6-Weekday,1,1,1,1,1,0,0,20260119,20260119
WF_A6-Sunday,0,0,0,0,0,0,1,20260104,20260322
WF_A6-Sunday-BM,0,0,0,0,0,1,0,20260103,20260321
WF_A6-Weekday-SDon,1,1,1,1,1,0,0,20260105,20260327
WF_A6-Saturday,0,0,0,0,0,1,0,20260110,20260328
WF_H6-Weekday,1,1,1,1,1,0,0,20260119,20260119
