service_id,date,exception_type
GH_A6-Weekday-SDon,20260119,2
GH_A6-Weekday-SDon-BM,20260118,2
GH_A6-Weekday-SDon,20260216,2
GH_A6-Weekday-SDon-BM,20260215,2
GH_A6-Weekday-SDon,20260217,2
GH_A6-Weekday-SDon-BM,20260216,2
GH_A6-Weekday-SDon,20260218,2
GH_A6-Weekday-SDon-BM,20260217,2
GH_A6-Weekday-SDon,20260219,2
GH_A6-Weekday-SDon-BM,20260218,2
GH_A6-Weekday-SDon,20260220,2
GH_A6-Weekday-SDon-BM,20260219,2
GH_A6-Weekday-SDon,20260320,2
GH_A6-Weekday-SDon-BM,20260319,2
GH_A6-Weekday,20260217,1
GH_A6-Weekday-BM,20260216,1
GH_A6-Weekday,20260218,1
GH_A6-Weekday-BM,20260217,1
GH_A6-Weekday,20260219,1
GH_A6-Weekday-BM,20260218,1
GH_A6-Weekday,20260220,1
GH_A6-Weekday-BM,20260219,1
GH_A6-Weekday,20260320,1
GH_A6-Weekday-BM,20260319,1
GH_A6-Saturday,20260216,1
KB_A6-Weekday-SDon,20260119,2
KB_A6-Weekday-SDon,20260216,2
KB_A6-Weekday-SDon,20260217,2
KB_A6-Weekday-SDon,20260218,2
KB_A6-Weekday-SDon,20260219,2
KB_A6-Weekday-SDon,20260220,2
KB_A6-Weekday-SDon,20260320,2
KB_A6-Weekday,20260217,1
KB_A6-Weekday,20260218,1
KB_A6-Weekday,20260219,1
KB_A6-Weekday,20260220,1
KB_A6-Weekday,20260320,1
KB_A6-Saturday,20260216,1
WF_A6-Weekday-SDon,20260119,2
WF_A6-Weekday-SDon,20260216,2
WF_A6-Weekday-SDon,20260217,2
WF_A6-Weekday-SDon,20260218,2
WF_A6-Weekday-SDon,20260219,2
WF_A6-Weekday-SDon,20260220,2
WF_A6-Weekday-SDon,20260320,2
WF_A6-Weekday,20260217,1
WF_A6-Weekday,20260218,1
WF_A6-Weekday,20260219,1
WF_A6-Weekday,20260220,1
WF_A6-Weekday,20260320,1
WF_A6-Saturday,20260216,1
