service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
MQ_A6-Sunday,0,0,0,0,0,0,1,20260104,20260322
MQ_A6-Weekday-SDon,1,1,1,1,1,0,0,20260105,20260327
MQ_A6-Saturday,0,0,0,0,0,1,0,20260110,20260328
MQ_H6-Weekday,1,1,1,1,1,0,0,20260119,20260119
MV_A6-Sunday,0,0,0,0,0,0,1,20260104,20260322
MV_A6-Weekday-SDon,1,1,1,1,1,0,0,20260105,20260327
MV_A6-Saturday,0,0,0,0,0,1,0,20260110,20260328
MV_A6-Saturday-BM,0,0,0,0,1,0,0,20260109,20260327
MV_H6-Weekday,1,1,1,1,1,0,0,20260119,20260119
OF_A6-Sunday,0,0,0,0,0,0,1,20260104,20260322
OF_A6-Weekday-SDon,1,1,1,1,1,0,0,20260105,20260327
OF_A6-Saturday,0,0,0,0,0,1,0,20260110,20260328
OF_H6-Weekday,1,1,1,1,1,0,0,20260119,20260119
OH_A6-Sunday,0,0,0,0,0,0,1,20260104,20260322
OH_A6-Sunday-BM,0,0,0,0,0,1,0,20260103,20260321
OH_A6-Weekday-SDon,1,1,1,1,1,0,0,20260105,20260327
OH_A6-Weekday-SDon-BM,1,1,1,1,0,0,1,20260104,20260326
OH_A6-Saturday,0,0,0,0,0,1,0,20260110,20260328
OH_A6-Saturday-BM,0,0,0,0,1,0,0,20260109,20260327
OH_H6-Weekday,1,1,1,1,1,0,0,20260119,20260119
OH_H6-Weekday-BM,1,1,1,1,0,0,1,20260118,20260118
