service_id,date,exception_type
MQ_A6-Weekday-SDon,20260119,2
MQ_A6-Weekday-SDon,20260216,2
MQ_A6-Weekday-SDon,20260217,2
MQ_A6-Weekday-SDon,20260218,2
MQ_A6-Weekday-SDon,20260219,2
MQ_A6-Weekday-SDon,20260220,2
MQ_A6-Weekday-SDon,20260320,2
MQ_A6-Weekday,20260217,1
MQ_A6-Weekday,20260218,1
MQ_A6-Weekday,20260219,1
MQ_A6-Weekday,20260220,1
MQ_A6-Weekday,20260320,1
MQ_A6-Saturday,20260216,1
MV_A6-Weekday-SDon,20260119,2
MV_A6-Weekday-SDon,20260216,2
MV_A6-Weekday-SDon,20260217,2
MV_A6-Weekday-SDon,20260218,2
MV_A6-Weekday-SDon,20260219,2
MV_A6-Weekday-SDon,20260220,2
MV_A6-Weekday-SDon,20260320,2
MV_A6-Weekday,20260217,1
MV_A6-Weekday,20260218,1
MV_A6-Weekday,20260219,1
MV_A6-Weekday,20260220,1
MV_A6-Weekday,20260320,1
MV_A6-Saturday,20260216,1
MV_A6-Saturday-BM,20260215,1
OF_A6-Weekday-SDon,20260119,2
OF_A6-Weekday-SDon,20260216,2
OF_A6-Weekday-SDon,20260217,2
OF_A6-Weekday-SDon,20260218,2
OF_A6-Weekday-SDon,20260219,2
OF_A6-Weekday-SDon,20260220,2
OF_A6-Weekday-SDon,20260320,2
OF_A6-Weekday,20260217,1
OF_A6-Weekday,20260218,1
OF_A6-Weekday,20260219,1
OF_A6-Weekday,20260220,1
OF_A6-Weekday,20260320,1
OF_A6-Saturday,20260216,1
OH_A6-Weekday-SDon,20260119,2
OH_A6-Weekday-SDon-BM,20260118,2
OH_A6-Weekday-SDon,20260216,2
OH_A6-Weekday-SDon-BM,20260215,2
OH_A6-Weekday-SDon,20260217,2
OH_A6-Weekday-SDon-BM,20260216,2
OH_A6-Weekday-SDon,20260218,2
OH_A6-Weekday-SDon-BM,20260217,2
OH_A6-Weekday-SDon,20260219,2
OH_A6-Weekday-SDon-BM,20260218,2
OH_A6-Weekday-SDon,20260220,2
OH_A6-Weekday-SDon-BM,20260219,2
OH_A6-Weekday-SDon,20260320,2
OH_A6-Weekday-SDon-BM,20260319,2
OH_A6-Weekday,20260217,1
OH_A6-Weekday-BM,20260216,1
OH_A6-Weekday,20260218,1
OH_A6-Weekday-BM,20260217,1
OH_A6-Weekday,20260219,1
OH_A6-Weekday-BM,20260218,1
OH_A6-Weekday,20260220,1
OH_A6-Weekday-BM,20260219,1
OH_A6-Weekday,20260320,1
OH_A6-Weekday-BM,20260319,1
OH_A6-Saturday,20260216,1
OH_A6-Saturday-BM,20260215,1
