service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
CS_A6-Sunday,0,0,0,0,0,0,1,20260104,20260322
CS_A6-Sunday-BM,0,0,0,0,0,1,0,20260103,20260321
CS_A6-Weekday-SDon,1,1,1,1,1,0,0,20260105,20260327
CS_A6-Weekday-SDon-BM,1,1,1,1,0,0,1,20260104,20260326
CS_A6-Saturday,0,0,0,0,0,1,0,20260110,20260328
CS_A6-Saturday-BM,0,0,0,0,1,0,0,20260109,20260327
CS_H6-Weekday,1,1,1,1,1,0,0,20260119,20260119
CS_H6-Weekday-BM,1,1,1,1,0,0,1,20260118,20260118
JA_A6-Sunday,0,0,0,0,0,0,1,20260104,20260322
JA_A6-Weekday-SDon,1,1,1,1,1,0,0,20260105,20260327
JA_A6-Saturday,0,0,0,0,0,1,0,20260110,20260328
JA_H6-Weekday,1,1,1,1,1,0,0,20260119,20260119
QV_A6-Sunday,0,0,0,0,0,0,1,20260104,20260322
QV_A6-Sunday-BM,0,0,0,0,0,1,0,20260103,20260321
QV_A6-Weekday-SDon,1,1,1,1,1,0,0,20260105,20260327
QV_A6-Weekday-SDon-BM,1,1,1,1,0,0,1,20260104,20260326
QV_A6-Saturday,0,0,0,0,0,1,0,20260110,20260328
QV_A6-Saturday-BM,0,0,0,0,1,0,0,20260109,20260327
QV_H6-Weekday,1,1,1,1,1,0,0,20260119,20260119
QV_H6-Weekday-BM,1,1,1,1,0,0,1,20260118,20260118
