service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
CA_A6-Sunday,0,0,0,0,0,0,1,20260104,20260322
CA_A6-Weekday-SDon,1,1,1,1,1,0,0,20260105,20260327
CA_A6-Saturday,0,0,0,0,0,1,0,20260110,20260328
CA_H6-Weekday,1,1,1,1,1,0,0,20260119,20260216
CH_A6-Sunday,0,0,0,0,0,0,1,20260104,20260322
CH_A6-Weekday-SDon,1,1,1,1,1,0,0,20260105,20260327
CH_A6-Saturday,0,0,0,0,0,1,0,20260110,20260328
CH_H6-Weekday,1,1,1,1,1,0,0,20260119,20260216
YU_A6-Sunday,0,0,0,0,0,0,1,20260104,20260322
YU_A6-Weekday-SDon,1,1,1,1,1,0,0,20260105,20260327
YU_A6-Saturday,0,0,0,0,0,1,0,20260110,20260328
YU_H6-Weekday,1,1,1,1,1,0,0,20260119,20260216
