route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
SIM34,CA_H6-Weekday,CA_H6-Weekday-031000_MISC_241,SOHO HOUSTON ST via CHURCH ST,0,38714605,SIM340086
SIM34,CA_H6-Weekday,CA_H6-Weekday-033000_MISC_253,SOHO HOUSTON ST via CHURCH ST,0,38714606,SIM340086
SIM34,CA_H6-Weekday,CA_H6-Weekday-035000_MISC_262,SOHO HOUSTON ST via CHURCH ST,0,38714607,SIM340086
SIM34,CA_H6-Weekday,CA_H6-Weekday-039000_MISC_294,SOHO HOUSTON ST via CHURCH ST,0,38714609,SIM340086
SIM34,CA_H6-Weekday,CA_H6-Weekday-041000_MISC_230,SOHO HOUSTON ST via CHURCH ST,0,38714604,SIM340086
SIM34,CA_H6-Weekday,CA_H6-Weekday-043000_MISC_241,SOHO HOUSTON ST via CHURCH ST,0,38714605,SIM340086
SIM34,CA_H6-Weekday,CA_H6-Weekday-045000_MISC_253,SOHO HOUSTON ST via CHURCH ST,0,38714606,SIM340086
SIM34,CA_H6-Weekday,CA_H6-Weekday-049000_MISC_339,SOHO HOUSTON ST via CHURCH ST,0,38714634,SIM340086
SIM34,CA_H6-Weekday,CA_H6-Weekday-054000_MISC_294,SOHO HOUSTON ST via CHURCH ST,0,38714609,SIM340086
SIM34,CA_H6-Weekday,CA_H6-Weekday-047000_MISC_262,SOHO HOUSTON ST via CHURCH ST,0,38714607,SIM340086
SIM34,CA_H6-Weekday,CA_H6-Weekday-051000_MISC_343,SOHO HOUSTON ST via CHURCH ST,0,38714610,SIM340086
SIM34,CA_H6-Weekday,CA_H6-Weekday-092000_MISC_332,MARINERS HARBOR via WATCHOGUE RD,1,38714612,SIM340094
SIM34,CA_H6-Weekday,CA_H6-Weekday-098000_MISC_315,MARINERS HARBOR via WATCHOGUE RD,1,38714615,SIM340094
SIM34,CA_H6-Weekday,CA_H6-Weekday-106000_MISC_332,MARINERS HARBOR via WATCHOGUE RD,1,38714612,SIM340094
SIM34,CA_H6-Weekday,CA_H6-Weekday-110500_MISC_437,MARINERS HARBOR via WATCHOGUE RD,1,38714632,SIM340094
SIM34,CA_H6-Weekday,CA_H6-Weekday-089500_MISC_321,MARINERS HARBOR via WATCHOGUE RD,1,38714611,SIM340094
SIM34,CA_H6-Weekday,CA_H6-Weekday-094000_MISC_292,MARINERS HARBOR via WATCHOGUE RD,1,38714613,SIM340094
SIM34,CA_H6-Weekday,CA_H6-Weekday-096000_MISC_304,MARINERS HARBOR via WATCHOGUE RD,1,38714614,SIM340094
SIM34,CA_H6-Weekday,CA_H6-Weekday-104000_MISC_321,MARINERS HARBOR via WATCHOGUE RD,1,38714611,SIM340094
SIM34,CA_H6-Weekday,CA_H6-Weekday-108000_MISC_433,MARINERS HARBOR via WATCHOGUE RD,1,38714633,SIM340094
SIM34,CA_H6-Weekday,CA_H6-Weekday-037000_MISC_278,SOHO HOUSTON ST via CHURCH ST,0,38714608,SIM340086
SIM34,CA_H6-Weekday,CA_H6-Weekday-028000_MISC_230,SOHO HOUSTON ST via CHURCH ST,0,38714604,SIM340086
SIM34,CA_H6-Weekday,CA_H6-Weekday-102000_MISC_418,MARINERS HARBOR via WATCHOGUE RD,1,38714617,SIM340094
SIM34,CA_H6-Weekday,CA_H6-Weekday-100000_MISC_411,MARINERS HARBOR via WATCHOGUE RD,1,38714616,SIM340094
