stop_id,stop_name,stop_lat,stop_lon,NTACode,NTAName,BoroName
101,Van Cortlandt Park-242 St,40.889248,-73.898583,BX2691,Van Cortlandt Park,Bronx
103,238 St,40.884667,-73.90087,BX0802,Kingsbridge-Marble Hill,Bronx
104,231 St,40.878856,-73.904834,BX0802,Kingsbridge-Marble Hill,Bronx
106,Marble Hill-225 St,40.874561,-73.909831,BX0802,Kingsbridge-Marble Hill,Bronx
107,215 St,40.869444,-73.915279,,UNMATCHED,
108,207 St,40.864621,-73.918822,,UNMATCHED,
109,Dyckman St,40.860531,-73.925536,MN1291,Highbridge Park,Manhattan
110,191 St,40.855225,-73.929412,MN1202,Washington Heights (North),Manhattan
111,181 St,40.849505,-73.933596,MN1202,Washington Heights (North),Manhattan
112,168 St-Washington Hts,40.840556,-73.940133,MN1201,Washington Heights (South),Manhattan
113,157 St,40.834041,-73.94489,MN1201,Washington Heights (South),Manhattan
114,145 St,40.826551,-73.95036,MN0903,Hamilton Heights-Sugar Hill,Manhattan
115,137 St-City College,40.822008,-73.953676,MN0902,Manhattanville-West Harlem,Manhattan
116,125 St,40.815581,-73.958372,MN0901,Morningside Heights,Manhattan
117,116 St-Columbia University,40.807722,-73.96411,MN0901,Morningside Heights,Manhattan
118,Cathedral Pkwy (110 St),40.803967,-73.966847,MN0703,Upper West Side-Manhattan Valley,Manhattan
119,103 St,40.799446,-73.968379,MN0703,Upper West Side-Manhattan Valley,Manhattan
120,96 St,40.793919,-73.972323,MN0702,Upper West Side (Central),Manhattan
121,86 St,40.788644,-73.976218,MN0702,Upper West Side (Central),Manhattan
122,79 St,40.783934,-73.979917,MN0702,Upper West Side (Central),Manhattan
123,72 St,40.778453,-73.98197,MN0701,Upper West Side-Lincoln Square,Manhattan
124,66 St-Lincoln Center,40.77344,-73.982209,MN0701,Upper West Side-Lincoln Square,Manhattan
125,59 St-Columbus Circle,40.768247,-73.981929,MN0701,Upper West Side-Lincoln Square,Manhattan
126,50 St,40.761728,-73.983849,MN0502,Midtown-Times Square,Manhattan
127,Times Sq-42 St,40.75529,-73.987495,MN0502,Midtown-Times Square,Manhattan
128,34 St-Penn Station,40.750373,-73.991057,MN0501,Midtown South-Flatiron-Union Square,Manhattan
129,28 St,40.747215,-73.993365,MN0501,Midtown South-Flatiron-Union Square,Manhattan
130,23 St,40.744081,-73.995657,MN0401,Chelsea-Hudson Yards,Manhattan
131,18 St,40.74104,-73.997871,MN0401,Chelsea-Hudson Yards,Manhattan
