stop_id,stop_name,stop_lat,stop_lon,gtfs_borough,NTACode,NTAName,BoroName,CountyFIPS
100014,BEDFORD PK BLVD/GRAND CONCOURSE,40.872562,-73.888156,Bronx,BX0702,Bedford Park,Bronx,005
100017,PAUL AV/W 205 ST,40.876836,-73.88971,Bronx,BX0702,Bedford Park,Bronx,005
100018,PAUL AV/WEST MOSHOLU PKWY SOUTH,40.880392,-73.886081,Bronx,BX0702,Bedford Park,Bronx,005
100019,GRAND CONCOURSE/E 138 ST,40.813496,-73.929489,Bronx,BX0101,Mott Haven-Port Morris,Bronx,005
100020,GRAND CONCOURSE/E 144 ST,40.816812,-73.928001,Bronx,BX0101,Mott Haven-Port Morris,Bronx,005
100021,GRAND CONCOURSE/E 149 ST,40.818856,-73.927096,Bronx,BX0401,Concourse-Concourse Village,Bronx,005
100022,GRAND CONCOURSE/E 153 ST,40.821103,-73.925751,Bronx,BX0401,Concourse-Concourse Village,Bronx,005
100025,GRAND CONCOURSE/E 161 ST,40.826453,-73.922795,Bronx,BX0401,Concourse-Concourse Village,Bronx,005
100026,GRAND CONCOURSE/E 163 ST,40.828837,-73.921328,Bronx,BX0401,Concourse-Concourse Village,Bronx,005
100027,GRAND CONCOURSE/E 165 ST,40.831317,-73.919938,Bronx,BX0401,Concourse-Concourse Village,Bronx,005
100028,GRAND CONCOURSE/MCCLELLAN ST,40.833276,-73.918555,Bronx,BX0401,Concourse-Concourse Village,Bronx,005
100029,GRAND CONCOURSE/E 167 ST,40.834762,-73.917133,Bronx,BX0401,Concourse-Concourse Village,Bronx,005
100030,GRAND CONCOURSE/E 169 ST,40.83657,-73.915371,Bronx,BX0403,Mount Eden-Claremont (West),Bronx,005
100033,GRAND CONCOURSE/MOUNT EDEN AV,40.843511,-73.911556,Bronx,BX0403,Mount Eden-Claremont (West),Bronx,005
100035,GRAND CONCOURSE/E 175 ST,40.846739,-73.908556,Bronx,BX0502,Mount Hope,Bronx,005
100038,GRAND CONCOURSE/E 179 ST,40.85093,-73.904494,Bronx,BX0502,Mount Hope,Bronx,005
100039,GRAND CONCOURSE/EAST BURNSIDE AV,40.852087,-73.903564,Bronx,BX0502,Mount Hope,Bronx,005
100040,GRAND CONCOURSE/E 180 ST,40.853719,-73.902245,Bronx,BX0502,Mount Hope,Bronx,005
100041,GRAND CONCOURSE/E 182 ST,40.856254,-73.900358,Bronx,BX0503,Fordham Heights,Bronx,005
100044,GRAND CONCOURSE/E 187 ST,40.860569,-73.897865,Bronx,BX0503,Fordham Heights,Bronx,005
