NTACode,Score
BK0101,0.608901
BK0102,0.656246
BK0103,0.789275
BK0104,0.751316
BK0201,0.609774
BK0202,0.658876
BK0203,0.705205
BK0204,0.67582
BK0301,0.753407
BK0302,0.774084
BK0401,0.755971
BK0402,0.740808
BK0501,0.705241
BK0502,0.719659
BK0503,0.797158
BK0504,0.376349
BK0505,0.739726
BK0571,0.382973
BK0601,0.576832
BK0602,0.620361
BK0701,0.679785
BK0702,0.702143
BK0703,0.759989
BK0771,0.415122
BK0801,0.64147
BK0802,0.753203
BK0891,0.407906
BK0901,0.756191
BK0902,0.78231
BK1001,0.664821
BK1002,0.674916
BK1061,0.609165
BK1091,0.414605
BK1101,0.843408
BK1102,0.750859
BK1103,0.776161
BK1201,0.811758
BK1202,0.808624
BK1203,0.767439
BK1204,0.818959
BK1301,0.787987
BK1302,0.775827
BK1303,0.843203
BK1401,0.840421
BK1402,0.766444
BK1403,0.790937
BK1501,0.787664
BK1502,0.748992
BK1503,0.75492
BK1601,0.750843
BK1602,0.814249
BK1701,0.840242
BK1702,0.799366
BK1703,0.778325
BK1704,0.794029
BK1801,0.764609
BK1802,0.682036
BK1803,0.281973
BK1893,0.422737
BK5591,0.479209
BK5691,0.048774
BK5693,0.393797
BX0101,0.800636
BX0102,0.780904
BX0201,0.787195
BX0202,0.755169
BX0301,0.799528
BX0302,0.79178
BX0303,0.784753
BX0391,0.402474
BX0401,0.784708
BX0402,0.801282
BX0403,0.774419
BX0491,0.395828
BX0492,0.445703
BX0501,0.768602
BX0502,0.774321
BX0503,0.810839
BX0601,0.856921
BX0602,0.806662
BX0603,0.831076
BX0701,0.811096
BX0702,0.783536
BX0703,0.744665
BX0801,0.790669
BX0802,0.753401
BX0803,0.673425
BX0901,0.77924
BX0902,0.721938
BX0903,0.813614
BX0904,0.77923
BX1001,0.716838
BX1002,0.605029
BX1003,0.263708
BX1004,0.734685
BX1091,0.265375
BX1101,0.754674
BX1102,0.676134
BX1103,0.590059
BX1104,0.709253
BX1161,0.41021
BX1201,0.672322
BX1202,0.667751
BX1203,0.613391
BX1271,0.334792
BX2691,0.361478
BX2791,0.457015
MN0101,0.213999
MN0102,0.535675
MN0201,0.602751
MN0202,0.571259
MN0203,0.582644
MN0301,0.823041
MN0302,0.361834
MN0303,0.347436
MN0401,0.676341
MN0402,0.700328
MN0501,0.536707
MN0502,0.597354
MN0601,0.226829
MN0602,0.687562
MN0603,0.286728
MN0604,0.658975
MN0701,0.623094
MN0702,0.718171
MN0703,0.739927
MN0801,0.296906
MN0802,0.633543
MN0803,0.277415
MN0901,0.837371
MN0902,0.884075
MN0903,0.852999
MN1001,0.819317
MN1002,0.81532
MN1101,0.909688
MN1102,0.410188
MN1191,0.568725
MN1201,0.814935
MN1202,0.820252
MN1203,0.363795
MN1291,0.478666
MN1292,0.381723
MN6491,0.384561
QN0101,0.557427
QN0102,0.631089
QN0103,0.335446
QN0104,0.574211
QN0105,0.680861
QN0161,0.029433
QN0201,0.486437
QN0202,0.655765
QN0203,0.64534
QN0271,0.303801
QN0301,0.673205
QN0302,0.54988
QN0303,0.623574
QN0401,0.723414
QN0402,0.767155
QN0501,0.674446
QN0502,0.723691
QN0503,0.644128
QN0504,0.618543
QN0571,0.360376
QN0572,0.498947
QN0573,0.422388
QN0574,0.511166
QN0601,0.69489
QN0602,0.648175
QN0701,0.245028
QN0702,0.589965
QN0703,0.564908
QN0704,0.707573
QN0705,0.831366
QN0706,0.790667
QN0707,0.796418
QN0761,0.358793
QN0801,0.714773
QN0802,0.699073
QN0803,0.675808
QN0804,0.663785
QN0805,0.708636
QN0871,0.483211
QN0891,0.457709
QN0901,0.725434
QN0902,0.680336
QN0903,0.626728
QN0904,0.625861
QN0905,0.662935
QN1001,0.675009
QN1002,0.61848
QN1003,0.207321
QN1101,0.674545
QN1102,0.668702
QN1103,0.191099
QN1104,0.705057
QN1191,0.604687
QN1201,0.740631
QN1202,0.668319
QN1203,0.617367
QN1204,0.6503
QN1205,0.621761
QN1206,0.659104
QN1301,0.613848
QN1302,0.664917
QN1303,0.651111
QN1304,0.660055
QN1305,0.575636
QN1306,0.578584
QN1307,0.562446
QN1371,0.38787
QN1401,0.28265
QN1402,0.304947
QN1403,0.167306
QN8191,0.308398
QN8291,0.386221
SI0101,0.64293
SI0102,0.65702
SI0103,0.618356
SI0104,0.564508
SI0105,0.51504
SI0106,0.581428
SI0107,0.24833
SI0191,0.352246
SI0201,0.619946
SI0202,0.581657
SI0203,0.528146
SI0204,0.546935
SI0291,0.332136
SI0301,0.536001
SI0302,0.495034
SI0303,0.472508
SI0304,0.509419
SI0305,0.437442
SI0391,0.305204
SI9561,0.527882
SI9592,0.448146
SI9593,0.36749
