NTACode,Score
BK0101,0.611899
BK0102,0.636209
BK0103,0.762539
BK0104,0.723151
BK0201,0.585217
BK0202,0.63019
BK0203,0.66917
BK0204,0.649927
BK0301,0.717132
BK0302,0.73906
BK0401,0.720697
BK0402,0.713647
BK0501,0.683273
BK0502,0.701553
BK0503,0.747213
BK0504,0.755015
BK0505,0.724708
BK0601,0.581922
BK0602,0.585905
BK0701,0.647478
BK0702,0.694214
BK0703,0.743476
BK0801,0.611634
BK0802,0.724351
BK0901,0.719957
BK0902,0.738281
BK1001,0.658196
BK1002,0.672534
BK1061,0.603867
BK1101,0.771212
BK1102,0.698703
BK1103,0.728834
BK1201,0.767979
BK1202,0.755441
BK1203,0.706377
BK1204,0.747722
BK1301,0.73955
BK1302,0.742233
BK1303,0.787174
BK1401,0.743221
BK1402,0.680596
BK1403,0.713213
BK1501,0.735952
BK1502,0.698569
BK1503,0.692206
BK1601,0.72595
BK1602,0.776441
BK1701,0.759548
BK1702,0.721395
BK1703,0.730169
BK1704,0.750616
BK1801,0.679669
BK1802,0.617877
BK1803,0.681569
BX0101,0.779547
BX0102,0.768979
BX0201,0.768997
BX0202,0.741305
BX0301,0.777804
BX0302,0.768493
BX0303,0.759959
BX0401,0.753926
BX0402,0.777049
BX0403,0.750249
BX0501,0.757939
BX0502,0.747138
BX0503,0.770494
BX0601,0.794142
BX0602,0.773388
BX0603,0.799911
BX0701,0.769125
BX0702,0.758886
BX0703,0.72364
BX0801,0.748379
BX0802,0.702341
BX0803,0.612822
BX0901,0.745365
BX0902,0.689789
BX0903,0.70827
BX0904,0.74111
BX1001,0.699848
BX1002,0.591837
BX1003,0.637706
BX1004,0.703707
BX1101,0.708632
BX1102,0.649708
BX1103,0.590444
BX1104,0.702856
BX1201,0.662454
BX1202,0.646736
BX1203,0.601157
MN0101,0.564693
MN0102,0.529693
MN0201,0.600476
MN0202,0.558681
MN0203,0.568113
MN0301,0.800117
MN0302,0.750712
MN0303,0.771421
MN0401,0.658478
MN0402,0.687305
MN0501,0.520337
MN0502,0.583982
MN0601,0.588328
MN0602,0.640966
MN0603,0.647624
MN0604,0.58555
MN0701,0.58749
MN0702,0.659777
MN0703,0.694788
MN0801,0.716624
MN0802,0.551199
MN0803,0.689417
MN0901,0.782977
MN0902,0.826788
MN0903,0.799103
MN1001,0.747061
MN1002,0.777204
MN1101,0.80677
MN1102,0.791483
MN1201,0.771836
MN1202,0.766595
MN1203,0.749279
QN0101,0.535144
QN0102,0.631508
QN0103,0.590261
QN0104,0.578752
QN0105,0.70967
QN0161,0.264505
QN0201,0.54297
QN0202,0.68983
QN0203,0.689378
QN0301,0.60103
QN0302,0.625863
QN0303,0.721686
QN0401,0.687211
QN0402,0.708539
QN0501,0.636277
QN0502,0.683845
QN0503,0.610705
QN0504,0.595316
QN0601,0.653227
QN0602,0.62747
QN0701,0.621777
QN0702,0.542382
QN0703,0.542371
QN0704,0.688065
QN0705,0.764615
QN0706,0.751037
QN0707,0.757388
QN0801,0.63482
QN0802,0.64241
QN0803,0.608052
QN0804,0.619525
QN0805,0.687309
QN0901,0.691357
QN0902,0.662469
QN0903,0.663973
QN0904,0.656436
QN0905,0.654937
QN1001,0.603118
QN1002,0.6365
QN1003,0.562333
QN1101,0.619845
QN1102,0.599524
QN1103,0.564084
QN1104,0.602336
QN1201,0.726864
QN1202,0.656901
QN1203,0.606981
QN1204,0.636872
QN1205,0.600687
QN1206,0.63746
QN1301,0.525649
QN1302,0.587092
QN1303,0.615909
QN1304,0.610888
QN1305,0.564129
QN1306,0.575259
QN1307,0.561117
QN1401,0.499995
QN1402,0.530261
QN1403,0.392
SI0101,0.649271
SI0102,0.663697
SI0103,0.615711
SI0104,0.569373
SI0105,0.518765
SI0106,0.585397
SI0107,0.594023
SI0201,0.615822
SI0202,0.579501
SI0203,0.53542
SI0204,0.549548
SI0301,0.534516
SI0302,0.49977
SI0303,0.486671
SI0304,0.516487
SI0305,0.45211
SI9561,0.535008
MN6491,0.34868
MN1291,0.415875
MN1292,0.356052
MN1191,0.558995
MN0191,0.336085
MN0661,0.538988
BX2791,0.40337
BX0492,0.403932
BX0391,0.37888
BX1091,0.237009
BX1161,0.382809
BX2891,0.376056
BX2691,0.339212
BX1271,0.331927
BX0491,0.362829
BK5691,0.269128
BK0261,0.372128
BK0771,0.38632
BK0571,0.356191
BK0891,0.382513
BK1891,0.389891
BK5591,0.422181
QN0151,0.229065
BK1893,0.390693
BK1091,0.385332
BK5693,0.374722
QN1191,0.489242
QN0271,0.337728
QN0891,0.365147
QN8191,0.300304
QN8291,0.353706
QN0761,0.352709
QN0574,0.460774
QN8492,0.207941
QN8491,0.252736
QN8381,0.407925
QN0791,0.383018
QN8081,0.235228
QN0572,0.43432
QN1371,0.370981
QN0573,0.384001
QN0171,0.229056
SI0291,0.338734
SI0391,0.323066
SI9593,0.359411
SI9592,0.442449
SI0191,0.350272
QN0871,0.424958
QN0571,0.332876
