nta2020,ntaname,boroname,Total Votes,Zohran Kwame Mamdani,Andrew M. Cuomo,Curtis A. Sliwa,Eric L. Adams,WRITE-IN,Irene Estrada,Jim Walden,Joseph Hernandez,Zohran Kwame Mamdani (%),Andrew M. Cuomo (%),Curtis A. Sliwa (%),Eric L. Adams (%),WRITE-IN (%),Irene Estrada (%),Jim Walden (%),Joseph Hernandez (%),winning_candidate,winning_percentage
BK0101,Greenpoint,Brooklyn,14905,11451,2579,801,12,40,9,9,3,76.83,17.3,5.37,0.08,0.27,0.06,0.06,0.02,Zohran Kwame Mamdani,76.83
BK0102,Williamsburg,Brooklyn,20039,13673,5704,488,53,75,15,17,14,68.23,28.46,2.44,0.26,0.37,0.07,0.08,0.07,Zohran Kwame Mamdani,68.23
BK0103,South Williamsburg,Brooklyn,6368,994,4898,223,184,57,6,2,4,15.61,76.92,3.5,2.89,0.9,0.09,0.03,0.06,Andrew M. Cuomo,76.92
BK0104,East Williamsburg,Brooklyn,17523,13187,3576,629,38,50,15,16,12,75.26,20.41,3.59,0.22,0.29,0.09,0.09,0.07,Zohran Kwame Mamdani,75.26
BK0201,Brooklyn Heights,Brooklyn,10353,6472,3552,200,16,65,5,41,3,62.51,34.31,1.93,0.15,0.63,0.05,0.4,0.03,Zohran Kwame Mamdani,62.51
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,15731,11283,3981,299,33,92,11,22,10,71.72,25.31,1.9,0.21,0.58,0.07,0.14,0.06,Zohran Kwame Mamdani,71.72
BK0203,Fort Greene,Brooklyn,11080,8731,2027,188,49,58,8,12,6,78.8,18.29,1.7,0.44,0.52,0.07,0.11,0.05,Zohran Kwame Mamdani,78.8
BK0204,Clinton Hill,Brooklyn,11884,9733,1897,162,27,40,11,8,5,81.9,15.96,1.36,0.23,0.34,0.09,0.07,0.04,Zohran Kwame Mamdani,81.9
BK0301,Bedford-Stuyvesant (West),Brooklyn,22409,16973,4832,331,131,89,19,19,15,75.74,21.56,1.48,0.58,0.4,0.08,0.08,0.07,Zohran Kwame Mamdani,75.74
BK0302,Bedford-Stuyvesant (East),Brooklyn,23102,18161,4350,336,117,74,33,12,19,78.61,18.83,1.45,0.51,0.32,0.14,0.05,0.08,Zohran Kwame Mamdani,78.61
BK0401,Bushwick (West),Brooklyn,14408,12349,1668,331,17,17,11,6,9,85.71,11.58,2.3,0.12,0.12,0.08,0.04,0.06,Zohran Kwame Mamdani,85.71
BK0402,Bushwick (East),Brooklyn,14354,11313,2558,387,46,21,17,4,8,78.81,17.82,2.7,0.32,0.15,0.12,0.03,0.06,Zohran Kwame Mamdani,78.81
BK0501,Cypress Hills,Brooklyn,4534,2562,1638,288,20,6,14,1,6,56.51,36.13,6.35,0.44,0.13,0.31,0.02,0.13,Zohran Kwame Mamdani,56.51
BK0502,East New York (North),Brooklyn,5401,3195,1951,182,38,10,16,3,6,59.16,36.12,3.37,0.7,0.19,0.3,0.06,0.11,Zohran Kwame Mamdani,59.16
BK0503,East New York-New Lots,Brooklyn,8293,4833,3084,242,77,17,19,11,9,58.28,37.19,2.92,0.93,0.2,0.23,0.13,0.11,Zohran Kwame Mamdani,58.28
BK0504,Spring Creek-Starrett City,Brooklyn,3915,1910,1817,138,31,9,5,4,2,48.79,46.41,3.52,0.79,0.23,0.13,0.1,0.05,Zohran Kwame Mamdani,48.79
BK0505,East New York-City Line,Brooklyn,6445,4185,1973,214,43,15,6,5,4,64.93,30.61,3.32,0.67,0.23,0.09,0.08,0.06,Zohran Kwame Mamdani,64.93
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Brooklyn,21729,15702,5221,561,50,126,22,33,13,72.26,24.03,2.58,0.23,0.58,0.1,0.15,0.06,Zohran Kwame Mamdani,72.26
BK0602,Park Slope,Brooklyn,26396,20302,5335,450,27,218,15,40,8,76.91,20.21,1.7,0.1,0.83,0.06,0.15,0.03,Zohran Kwame Mamdani,76.91
BK0701,Windsor Terrace-South Slope,Brooklyn,10935,8102,2329,404,7,68,6,13,5,74.09,21.3,3.69,0.06,0.62,0.05,0.12,0.05,Zohran Kwame Mamdani,74.09
BK0702,Sunset Park (West),Brooklyn,10892,7697,2513,607,17,33,13,9,4,70.67,23.07,5.57,0.16,0.3,0.12,0.08,0.04,Zohran Kwame Mamdani,70.67
BK0703,Sunset Park (Central),Brooklyn,4938,2798,1653,428,23,13,16,5,3,56.66,33.48,8.67,0.47,0.26,0.32,0.1,0.06,Zohran Kwame Mamdani,56.66
BK0801,Prospect Heights,Brooklyn,10866,8979,1640,121,20,82,2,17,4,82.63,15.09,1.11,0.18,0.75,0.02,0.16,0.04,Zohran Kwame Mamdani,82.63
BK0802,Crown Heights (North),Brooklyn,23849,18956,4407,287,73,71,26,17,12,79.48,18.48,1.2,0.31,0.3,0.11,0.07,0.05,Zohran Kwame Mamdani,79.48
BK0901,Crown Heights (South),Brooklyn,13778,7448,5972,266,46,27,8,6,3,54.06,43.34,1.93,0.33,0.2,0.06,0.04,0.02,Zohran Kwame Mamdani,54.06
BK0902,Prospect Lefferts Gardens-Wingate,Brooklyn,13029,9228,3520,180,33,34,16,10,8,70.83,27.02,1.38,0.25,0.26,0.12,0.08,0.06,Zohran Kwame Mamdani,70.83
BK1001,Bay Ridge,Brooklyn,24606,11180,9994,3237,31,64,27,55,17,45.44,40.62,13.16,0.13,0.26,0.11,0.22,0.07,Zohran Kwame Mamdani,45.44
BK1002,Dyker Heights,Brooklyn,7853,2220,4146,1450,10,7,11,5,4,28.27,52.8,18.46,0.13,0.09,0.14,0.06,0.05,Andrew M. Cuomo,52.8
BK1101,Bensonhurst,Brooklyn,13692,4534,6917,2159,24,21,19,12,5,33.11,50.52,15.77,0.18,0.15,0.14,0.09,0.04,Andrew M. Cuomo,50.52
BK1102,Bath Beach,Brooklyn,5810,1936,2877,963,10,7,11,3,3,33.32,49.52,16.57,0.17,0.12,0.19,0.05,0.05,Andrew M. Cuomo,49.52
BK1103,Gravesend (West),Brooklyn,9295,2586,5331,1333,12,4,17,7,4,27.82,57.35,14.34,0.13,0.04,0.18,0.08,0.04,Andrew M. Cuomo,57.35
BK1201,Sunset Park (East)-Borough Park (West),Brooklyn,3769,1566,1907,249,26,12,4,2,4,41.55,50.6,6.61,0.69,0.32,0.11,0.05,0.11,Andrew M. Cuomo,50.6
BK1202,Borough Park,Brooklyn,22027,1598,19290,616,380,118,17,5,4,7.25,87.57,2.8,1.73,0.54,0.08,0.02,0.02,Andrew M. Cuomo,87.57
BK1203,Kensington,Brooklyn,11838,7957,3362,426,32,39,8,9,4,67.22,28.4,3.6,0.27,0.33,0.07,0.08,0.03,Zohran Kwame Mamdani,67.22
BK1204,Mapleton-Midwood (West),Brooklyn,11205,1214,9424,501,41,13,4,4,4,10.83,84.11,4.47,0.37,0.12,0.04,0.04,0.04,Andrew M. Cuomo,84.11
BK1301,Gravesend (South),Brooklyn,5553,1367,3415,726,19,6,11,4,3,24.62,61.5,13.07,0.34,0.11,0.2,0.07,0.05,Andrew M. Cuomo,61.5
BK1302,Coney Island-Sea Gate,Brooklyn,11206,2636,7449,1036,47,10,14,8,6,23.52,66.47,9.25,0.42,0.09,0.12,0.07,0.05,Andrew M. Cuomo,66.47
BK1303,Brighton Beach,Brooklyn,5746,1447,3767,490,23,7,6,3,3,25.18,65.56,8.53,0.4,0.12,0.1,0.05,0.05,Andrew M. Cuomo,65.56
BK1401,Flatbush,Brooklyn,16299,12355,3487,310,62,40,16,17,11,75.8,21.39,1.9,0.38,0.25,0.1,0.1,0.07,Zohran Kwame Mamdani,75.8
BK1402,Flatbush (West)-Ditmas Park-Parkville,Brooklyn,13028,8691,3843,378,41,48,9,14,3,66.71,29.5,2.9,0.31,0.37,0.07,0.11,0.02,Zohran Kwame Mamdani,66.71
BK1403,Midwood,Brooklyn,14110,2698,10751,562,49,24,10,13,3,19.12,76.19,3.98,0.35,0.17,0.07,0.09,0.02,Andrew M. Cuomo,76.19
BK1501,Gravesend (East)-Homecrest,Brooklyn,12664,1459,10406,751,25,11,6,5,2,11.52,82.17,5.93,0.2,0.09,0.05,0.04,0.02,Andrew M. Cuomo,82.17
BK1502,Madison,Brooklyn,10688,1842,7654,1143,13,13,9,8,5,17.23,71.61,10.69,0.12,0.12,0.08,0.07,0.05,Andrew M. Cuomo,71.61
BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,Brooklyn,16535,3317,10486,2607,48,25,30,10,12,20.06,63.42,15.77,0.29,0.15,0.18,0.06,0.07,Andrew M. Cuomo,63.42
BK1601,Ocean Hill,Brooklyn,6865,4827,1833,120,49,13,12,6,4,70.31,26.7,1.75,0.71,0.19,0.17,0.09,0.06,Zohran Kwame Mamdani,70.31
BK1602,Brownsville,Brooklyn,7097,4023,2770,208,43,18,21,6,10,56.69,39.03,2.93,0.61,0.25,0.3,0.08,0.14,Zohran Kwame Mamdani,56.69
BK1701,East Flatbush-Erasmus,Brooklyn,10852,8130,2441,197,37,24,9,9,5,74.92,22.49,1.82,0.34,0.22,0.08,0.08,0.05,Zohran Kwame Mamdani,74.92
BK1702,East Flatbush-Farragut,Brooklyn,7536,5071,2228,157,35,19,20,5,1,67.29,29.56,2.08,0.46,0.25,0.27,0.07,0.01,Zohran Kwame Mamdani,67.29
BK1703,East Flatbush-Rugby,Brooklyn,7405,4539,2678,116,41,13,10,5,2,61.3,36.16,1.57,0.55,0.18,0.14,0.07,0.03,Zohran Kwame Mamdani,61.3
BK1704,East Flatbush-Remsen Village,Brooklyn,5828,3516,2159,102,31,4,7,5,3,60.33,37.05,1.75,0.53,0.07,0.12,0.09,0.05,Zohran Kwame Mamdani,60.33
BK1801,Flatlands,Brooklyn,16004,8402,6734,740,70,26,16,10,6,52.5,42.08,4.62,0.44,0.16,0.1,0.06,0.04,Zohran Kwame Mamdani,52.5
BK1802,Marine Park-Mill Basin-Bergen Beach,Brooklyn,12162,2309,7866,1927,25,17,13,3,3,18.99,64.68,15.84,0.21,0.14,0.11,0.02,0.02,Andrew M. Cuomo,64.68
BK1803,Canarsie,Brooklyn,15830,9623,5597,477,74,22,17,11,9,60.79,35.36,3.01,0.47,0.14,0.11,0.07,0.06,Zohran Kwame Mamdani,60.79
BX0101,Mott Haven-Port Morris,Bronx,7641,4461,2740,347,37,21,18,9,7,58.38,35.86,4.54,0.48,0.27,0.24,0.12,0.09,Zohran Kwame Mamdani,58.38
BX0102,Melrose,Bronx,5438,2974,2160,248,27,11,7,1,9,54.69,39.72,4.56,0.5,0.2,0.13,0.02,0.17,Zohran Kwame Mamdani,54.69
BX0201,Hunts Point,Bronx,1779,906,758,95,7,3,5,3,2,50.93,42.61,5.34,0.39,0.17,0.28,0.17,0.11,Zohran Kwame Mamdani,50.93
BX0202,Longwood,Bronx,4695,2404,1986,262,22,7,8,2,3,51.2,42.3,5.58,0.47,0.15,0.17,0.04,0.06,Zohran Kwame Mamdani,51.2
BX0301,Morrisania,Bronx,4376,2419,1714,190,25,10,9,3,6,55.28,39.17,4.34,0.57,0.23,0.21,0.07,0.14,Zohran Kwame Mamdani,55.28
BX0302,Claremont Village-Claremont (East),Bronx,2619,1526,999,61,16,7,7,2,1,58.27,38.14,2.33,0.61,0.27,0.27,0.08,0.04,Zohran Kwame Mamdani,58.27
BX0303,Crotona Park East,Bronx,3768,1968,1552,201,21,9,8,2,6,52.23,41.19,5.33,0.56,0.24,0.21,0.05,0.16,Zohran Kwame Mamdani,52.23
BX0401,Concourse-Concourse Village,Bronx,10461,6077,3843,412,56,23,28,10,13,58.09,36.74,3.94,0.54,0.22,0.27,0.1,0.12,Zohran Kwame Mamdani,58.09
BX0402,Highbridge,Bronx,3544,1926,1418,147,26,6,12,5,3,54.35,40.01,4.15,0.73,0.17,0.34,0.14,0.08,Zohran Kwame Mamdani,54.35
BX0403,Mount Eden-Claremont (West),Bronx,5607,3072,2235,240,27,10,15,1,6,54.79,39.86,4.28,0.48,0.18,0.27,0.02,0.11,Zohran Kwame Mamdani,54.79
BX0501,University Heights (South)-Morris Heights,Bronx,6685,3453,2863,288,36,18,14,6,7,51.65,42.83,4.31,0.54,0.27,0.21,0.09,0.1,Zohran Kwame Mamdani,51.65
BX0502,Mount Hope,Bronx,4787,2557,1965,202,31,13,9,7,3,53.42,41.05,4.22,0.65,0.27,0.19,0.15,0.06,Zohran Kwame Mamdani,53.42
BX0503,Fordham Heights,Bronx,2799,1473,1143,143,19,3,11,4,3,52.63,40.84,5.11,0.68,0.11,0.39,0.14,0.11,Zohran Kwame Mamdani,52.63
BX0601,West Farms,Bronx,2583,1290,1136,125,16,7,4,1,4,49.94,43.98,4.84,0.62,0.27,0.15,0.04,0.15,Zohran Kwame Mamdani,49.94
BX0602,Tremont,Bronx,3304,1797,1309,159,23,6,4,1,5,54.39,39.62,4.81,0.7,0.18,0.12,0.03,0.15,Zohran Kwame Mamdani,54.39
BX0603,Belmont,Bronx,3449,1925,1265,211,27,8,9,1,4,55.81,36.68,6.12,0.78,0.23,0.26,0.03,0.12,Zohran Kwame Mamdani,55.81
BX0701,University Heights (North)-Fordham,Bronx,5191,2694,2181,267,23,7,9,5,5,51.9,42.02,5.14,0.44,0.13,0.17,0.1,0.1,Zohran Kwame Mamdani,51.9
BX0702,Bedford Park,Bronx,7939,4262,3127,445,44,21,21,6,11,53.68,39.39,5.61,0.55,0.26,0.26,0.08,0.14,Zohran Kwame Mamdani,53.68
BX0703,Norwood,Bronx,5136,3150,1614,331,21,7,8,3,3,61.33,31.43,6.44,0.41,0.14,0.16,0.06,0.06,Zohran Kwame Mamdani,61.33
BX0801,Kingsbridge Heights-Van Cortlandt Village,Bronx,4997,2627,1975,335,27,10,13,6,4,52.57,39.52,6.7,0.54,0.2,0.26,0.12,0.08,Zohran Kwame Mamdani,52.57
BX0802,Kingsbridge-Marble Hill,Bronx,3891,2147,1452,251,13,14,6,3,6,55.18,37.32,6.45,0.33,0.36,0.15,0.08,0.15,Zohran Kwame Mamdani,55.18
BX0803,Riverdale-Spuyten Duyvil,Bronx,17149,7580,8338,1040,24,96,28,34,8,44.2,48.62,6.06,0.14,0.56,0.16,0.2,0.05,Andrew M. Cuomo,48.62
BX0901,Soundview-Bruckner-Bronx River,Bronx,8393,4763,3111,418,46,24,20,6,7,56.75,37.07,4.98,0.55,0.29,0.24,0.07,0.08,Zohran Kwame Mamdani,56.75
BX0902,Soundview-Clason Point,Bronx,6169,3071,2636,382,30,22,17,9,4,49.78,42.73,6.19,0.49,0.36,0.28,0.15,0.06,Zohran Kwame Mamdani,49.78
BX0903,Castle Hill-Unionport,Bronx,5961,3444,2152,319,18,10,8,5,3,57.78,36.1,5.35,0.3,0.17,0.13,0.08,0.05,Zohran Kwame Mamdani,57.78
BX0904,Parkchester,Bronx,7960,4862,2632,365,42,22,13,10,13,61.08,33.07,4.59,0.53,0.28,0.16,0.13,0.16,Zohran Kwame Mamdani,61.08
BX1001,Westchester Square,Bronx,2814,1900,731,163,3,3,8,3,2,67.52,25.98,5.79,0.11,0.11,0.28,0.11,0.07,Zohran Kwame Mamdani,67.52
BX1002,Throgs Neck-Schuylerville,Bronx,9981,3124,4336,2458,17,14,24,4,4,31.3,43.44,24.63,0.17,0.14,0.24,0.04,0.04,Andrew M. Cuomo,43.44
BX1003,Pelham Bay-Country Club-City Island,Bronx,6496,2119,2949,1372,12,18,14,4,7,32.62,45.4,21.12,0.18,0.28,0.22,0.06,0.11,Andrew M. Cuomo,45.4
BX1004,Co-op City,Bronx,11575,5477,5376,556,85,43,19,11,8,47.32,46.44,4.8,0.73,0.37,0.16,0.1,0.07,Zohran Kwame Mamdani,47.32
BX1101,Pelham Parkway-Van Nest,Bronx,4954,2780,1679,444,18,8,14,8,3,56.12,33.89,8.96,0.36,0.16,0.28,0.16,0.06,Zohran Kwame Mamdani,56.12
BX1102,Morris Park,Bronx,4795,2012,2029,717,6,9,14,4,3,41.96,42.31,14.95,0.13,0.19,0.29,0.08,0.06,Andrew M. Cuomo,42.31
BX1103,Pelham Gardens,Bronx,5890,2851,2349,641,16,12,13,3,5,48.4,39.88,10.88,0.27,0.2,0.22,0.05,0.08,Zohran Kwame Mamdani,48.4
BX1104,Allerton,Bronx,4261,2240,1628,337,24,15,13,3,1,52.57,38.21,7.91,0.56,0.35,0.31,0.07,0.02,Zohran Kwame Mamdani,52.57
BX1201,Williamsbridge-Olinville,Bronx,8001,4442,3181,291,46,14,18,5,3,55.52,39.76,3.64,0.57,0.17,0.22,0.06,0.04,Zohran Kwame Mamdani,55.52
